"test_class_name","cycle_id","tests","failures_0","failures_1","failures_2","failures_3","current_failures","failures_%","time_0","time","time_since","AvgCyclomatic","AvgCyclomaticModified","AvgCyclomaticStrict","AvgEssential","AvgLine","AvgLineBlank","AvgLineCode","AvgLineComment","CountDeclClass","CountDeclClassMethod","CountDeclClassVariable","CountDeclExecutableUnit","CountDeclFunction","CountDeclInstanceMethod","CountDeclInstanceVariable","CountDeclMethod","CountDeclMethodDefault","CountDeclMethodPrivate","CountDeclMethodProtected","CountDeclMethodPublic","CountLine","CountLineBlank","CountLineCode","CountLineCodeDecl","CountLineCodeExe","CountLineComment","CountSemicolon","CountStmt","CountStmtDecl","CountStmtExe","MaxCyclomatic","MaxCyclomaticModified","MaxCyclomaticStrict","MaxEssential","MaxNesting","RatioCommentToCode","SumCyclomatic","SumCyclomaticModified","SumCyclomaticStrict","SumEssential","D_priority","reward_dynamic_median"
"org/apache/commons/imaging/formats/jpeg/exif/MakerNoteFieldTest.java","9c5dc5b6ac43c7de108277a71a9279364efd4193",2,0,0,0,0,0,0,0,0.016,0,2,2,2,1,34,4,14,16,1,0,0,1,1,1,0,1,0,0,1,0,71,10,25,12,10,36,17,20,10,10,2,2,2,1,1,1.44,2,2,2,1,1,1
"org/apache/commons/imaging/formats/jpeg/exif/ExifRewriteTest.java","9c5dc5b6ac43c7de108277a71a9279364efd4193",4,0,0,0,1,0,0,0.40299999999999997,0.371,0.6408863663673401,3,3,3,2,36,5,23,7,4,0,0,13,14,14,0,14,0,7,0,7,533,90,332,127,232,112,224,268,122,146,12,12,13,8,5,0.34,43,43,44,31,0,0
"org/apache/commons/imaging/formats/jpeg/exif/AsciiFieldTest.java","9c5dc5b6ac43c7de108277a71a9279364efd4193",1,0,0,0,0,0,0,0,0.001,0,4,4,4,1,47,6,37,4,1,0,0,1,1,1,0,1,0,0,0,1,84,11,53,30,32,20,40,45,31,14,4,4,4,1,1,0.38,4,4,4,1,1,1
"org/apache/commons/imaging/formats/jpeg/exif/TextFieldTest.java","9c5dc5b6ac43c7de108277a71a9279364efd4193",2,0,0,0,0,0,0,0,0.005,0,5,5,7,4,40,3,18,22,1,0,0,1,1,1,0,1,0,0,1,0,79,9,31,15,13,42,15,21,13,8,5,5,7,4,1,1.35,5,5,7,4,1,1
"org/apache/commons/imaging/formats/jpeg/JpegWithJpegThumbnailTest.java","9c5dc5b6ac43c7de108277a71a9279364efd4193",1,0,0,0,0,0,0,0,0.32299999999999995,0,1,1,1,1,10,1,9,0,1,0,0,1,1,1,0,1,0,0,0,1,42,6,20,16,7,16,16,18,16,2,1,1,1,1,0,0.8,1,1,1,1,0,0
"org/apache/commons/imaging/formats/jpeg/iptc/IptcDumpTest.java","9c5dc5b6ac43c7de108277a71a9279364efd4193",1,0,0,0,0,0,0,0,0.06,0,5,5,5,1,45,7,31,7,1,0,0,1,1,1,0,1,0,0,0,1,79,13,43,21,25,23,32,38,22,16,5,5,5,1,3,0.53,5,5,5,1,0,1
"org/apache/commons/imaging/formats/jpeg/exif/MicrosoftTagTest.java","9c5dc5b6ac43c7de108277a71a9279364efd4193",2,0,0,0,0,0,0,0.025,0.035,0.6419857343037924,1,1,1,1,11,0,10,0,1,0,4,4,4,4,0,4,0,2,0,2,88,8,64,36,38,16,50,57,36,21,3,3,3,3,1,0.25,6,6,6,6,0,1
"org/apache/commons/imaging/formats/jpeg/exif/GpsTest.java","9c5dc5b6ac43c7de108277a71a9279364efd4193",1,0,0,0,0,0,0,0,0.006,0,8,8,8,7,65,13,44,8,1,0,0,1,1,1,0,1,0,0,0,1,98,18,56,20,35,24,34,43,20,23,8,8,8,7,3,0.43,8,8,8,7,1,1
"org/apache/commons/imaging/formats/jpeg/exif/ExifDumpTest.java","9c5dc5b6ac43c7de108277a71a9279364efd4193",1,0,0,0,0,0,0,0.054000000000000006,0.028999999999999998,0.6431694825490316,4,4,4,3,30,5,24,1,1,0,0,1,1,1,0,1,0,0,0,1,69,11,37,20,18,21,27,32,20,12,4,4,4,3,2,0.57,4,4,4,3,1,1
"org/apache/commons/imaging/formats/jpeg/xmp/JpegXmpRewriteTest.java","9c5dc5b6ac43c7de108277a71a9279364efd4193",1,0,0,0,0,0,0,0.042,0.037000000000000005,0.6447855075200398,6,6,6,1,104,17,71,16,1,0,0,1,1,1,0,1,0,0,0,1,141,23,86,34,55,32,54,64,32,32,6,6,6,1,2,0.37,6,6,6,1,0,1
"org/apache/commons/imaging/formats/jpeg/iptc/IptcUpdateTest.java","9c5dc5b6ac43c7de108277a71a9279364efd4193",3,0,0,0,0,0,0,0.095,0.102,0.644415819644928,4,4,5,1,67,12,47,8,1,0,0,5,5,5,1,5,0,0,0,5,393,70,257,104,188,66,153,184,87,97,9,9,11,1,5,0.26,24,24,28,5,0,0
"org/apache/commons/imaging/formats/jpeg/xmp/JpegXmpDumpTest.java","9c5dc5b6ac43c7de108277a71a9279364efd4193",1,0,0,0,0,0,0,0.001,0.008,0.6450170556704203,3,3,3,1,20,3,17,0,1,0,0,1,1,1,0,1,0,0,0,1,53,9,28,16,13,16,22,26,17,9,3,3,3,1,2,0.57,3,3,3,1,1,1
"org/apache/commons/imaging/formats/tiff/TiffTagIntegrityTest.java","9c5dc5b6ac43c7de108277a71a9279364efd4193",1,0,0,0,0,0,0,0,0.003,0,4,4,4,3,30,0,30,0,1,0,0,2,2,2,0,2,0,1,0,1,105,4,85,31,50,16,56,66,33,33,7,7,7,6,3,0.19,8,8,8,7,1,1
"org/apache/commons/imaging/formats/jpeg/exif/AsciiFieldTest.java","fda23ed687b7ab4e1d092ff0d1d4fdfa91de9b0c",1,0,0,0,0,0,0,0.001,0,0.3415628989537557,4,4,4,1,47,6,37,4,1,0,0,1,1,1,0,1,0,0,0,1,84,11,53,30,32,20,40,45,31,14,4,4,4,1,1,0.38,4,4,4,1,1,1
"org/apache/commons/imaging/formats/jpeg/exif/MicrosoftTagTest.java","fda23ed687b7ab4e1d092ff0d1d4fdfa91de9b0c",2,0,0,0,0,0,0,0.035,0.315,0.340933096408844,1,1,1,1,11,0,10,0,1,0,4,4,4,4,0,4,0,2,0,2,88,8,64,36,38,16,50,57,36,21,3,3,3,3,1,0.25,6,6,6,6,0,0
"org/apache/commons/imaging/formats/jpeg/exif/GpsTest.java","fda23ed687b7ab4e1d092ff0d1d4fdfa91de9b0c",1,0,0,0,0,0,0,0.006,0.004,0.34092421531677247,8,8,8,7,65,13,44,8,1,0,0,1,1,1,0,1,0,0,0,1,98,18,56,20,35,24,34,43,20,23,8,8,8,7,3,0.43,8,8,8,7,1,1
"org/apache/commons/imaging/formats/jpeg/exif/ExifRewriteTest.java","fda23ed687b7ab4e1d092ff0d1d4fdfa91de9b0c",4,0,0,1,0,0,0,0.371,0.423,0.3429557681083679,3,3,3,2,36,5,23,7,4,0,0,13,14,14,0,14,0,7,0,7,533,90,332,127,232,112,224,268,122,146,12,12,13,8,5,0.34,43,43,44,31,0,0
"org/apache/commons/imaging/formats/jpeg/iptc/IptcUpdateTest.java","94dfb94e1666c41715a1866ae2e25671dab3e65c",3,0,0,0,0,0,0,0.102,0.08800000000000001,0.6366184314092,4,4,5,1,67,12,47,8,1,0,0,5,5,5,1,5,0,0,0,5,393,70,257,104,188,66,153,184,87,97,9,9,11,1,5,0.26,24,24,28,5,0,0
"org/apache/commons/imaging/formats/jpeg/xmp/JpegXmpRewriteTest.java","94dfb94e1666c41715a1866ae2e25671dab3e65c",1,0,0,0,0,0,0,0.037000000000000005,0.03,0.6374039729436238,6,6,6,1,104,17,71,16,1,0,0,1,1,1,0,1,0,0,0,1,141,23,86,34,55,32,54,64,32,32,6,6,6,1,2,0.37,6,6,6,1,0,1
"org/apache/commons/imaging/formats/jpeg/xmp/JpegXmpDumpTest.java","94dfb94e1666c41715a1866ae2e25671dab3e65c",1,0,0,0,0,0,0,0.008,0.006999999999999999,0.6370251337687175,3,3,3,1,20,3,17,0,1,0,0,1,1,1,0,1,0,0,0,1,53,9,28,16,13,16,22,26,17,9,3,3,3,1,2,0.57,3,3,3,1,1,1
