"test_class_name","cycle_id","tests","failures_0","failures_1","failures_2","failures_3","current_failures","failures_%","time_0","time","time_since","AvgCyclomatic","AvgCyclomaticModified","AvgCyclomaticStrict","AvgEssential","AvgLine","AvgLineBlank","AvgLineCode","AvgLineComment","CountDeclClass","CountDeclClassMethod","CountDeclClassVariable","CountDeclExecutableUnit","CountDeclFunction","CountDeclInstanceMethod","CountDeclInstanceVariable","CountDeclMethod","CountDeclMethodDefault","CountDeclMethodPrivate","CountDeclMethodProtected","CountDeclMethodPublic","CountLine","CountLineBlank","CountLineCode","CountLineCodeDecl","CountLineCodeExe","CountLineComment","CountSemicolon","CountStmt","CountStmtDecl","CountStmtExe","MaxCyclomatic","MaxCyclomaticModified","MaxCyclomaticStrict","MaxEssential","MaxNesting","RatioCommentToCode","SumCyclomatic","SumCyclomaticModified","SumCyclomaticStrict","SumEssential","D_priority","reward_dynamic_median"
"org/apache/commons/lang3/time/FastDatePrinterTest.java","ce0c082898e3551d313fb5b73763f399232b3fd5",22,0,0,0,0,0,0,0,0.004,0.33488041957219444,1,1,1,1,10,1,8,1,2,1,5,31,29,30,8,31,1,5,1,24,438,73,314,150,195,52,216,248,122,126,2,2,2,1,1,0.17,32,32,32,31,1,1
"org/apache/commons/lang3/time/WeekYearTest.java","ce0c082898e3551d313fb5b73763f399232b3fd5",32,0,0,0,0,0,0,0.008,0.009000000000000001,0.3349139213562012,1,1,1,1,11,1,10,0,1,1,0,4,4,3,2,4,0,0,0,4,90,12,62,28,32,16,30,35,24,11,1,1,1,1,0,0.26,4,4,4,4,0,1
"org/apache/commons/lang3/time/DateUtilsRoundingTest.java","ce0c082898e3551d313fb5b73763f399232b3fd5",22,0,0,0,0,0,0,0.012,0.012,0.3309109648068746,1,1,1,1,23,2,12,8,1,0,0,26,26,26,14,26,0,0,3,23,727,88,381,136,262,258,303,330,112,218,1,1,1,1,0,0.68,26,26,26,26,0,1
"org/apache/commons/lang3/time/DurationFormatUtilsTest.java","ce0c082898e3551d313fb5b73763f399232b3fd5",25,0,0,0,0,0,0,0.519,0.41,0.33384615182876587,1,1,1,1,18,1,16,1,1,0,1,28,28,28,0,28,0,3,0,25,631,84,490,103,388,62,332,367,82,285,4,4,4,1,3,0.13,34,34,34,28,0,0
"org/apache/commons/lang3/time/FastDateParserTest.java","ce0c082898e3551d313fb5b73763f399232b3fd5",37,0,0,0,0,0,0,0.984,0.923,0.33377936681111653,1,1,1,1,10,1,8,0,2,1,14,53,51,52,8,53,1,12,1,39,721,121,550,223,345,61,328,419,185,234,7,7,7,3,4,0.11,84,84,86,57,0,0
"org/apache/commons/lang3/time/FastDatePrinterTimeZonesTest.java","ce0c082898e3551d313fb5b73763f399232b3fd5",627,0,0,0,511,0,0,0.413,0.4320000000000001,0.33611738284428916,1,1,1,1,6,0,6,0,1,1,1,3,3,2,1,3,0,0,0,3,64,11,37,26,13,16,24,30,24,6,2,2,2,1,1,0.43,4,4,4,3,0,0
"org/apache/commons/lang3/time/FastDateFormat_ParserTest.java","ce0c082898e3551d313fb5b73763f399232b3fd5",37,0,0,0,0,0,0,0.198,0.16699999999999998,0.3366084178288778,1,1,1,1,3,0,3,0,1,0,0,1,1,1,0,1,0,0,1,0,33,3,9,6,1,21,4,6,5,1,1,1,1,1,0,2.33,1,1,1,1,0,0
"org/apache/commons/lang3/time/FastDateFormatTest.java","ce0c082898e3551d313fb5b73763f399232b3fd5",15,0,0,0,0,0,0,0.893,0.534,0.33331948121388755,1,1,1,1,13,1,11,0,3,0,3,19,19,19,1,19,0,1,0,18,323,48,243,117,153,33,152,179,98,81,4,4,4,1,3,0.14,24,24,24,19,0,0
"org/apache/commons/lang3/time/DateUtilsTest.java","ce0c082898e3551d313fb5b73763f399232b3fd5",59,0,0,0,26,0,0,0.115,0.115,0.33665676911671955,1,1,1,1,22,1,19,1,1,5,1,66,66,61,30,66,0,5,0,61,1721,178,1409,265,1168,143,754,859,198,661,8,8,8,1,2,0.1,104,104,104,66,0,0
"org/apache/commons/lang3/time/FastDateFormat_PrinterTest.java","ce0c082898e3551d313fb5b73763f399232b3fd5",22,0,0,0,0,0,0,0.066,0.075,0.33541160424550376,1,1,1,1,3,0,3,0,1,0,0,1,1,1,0,1,0,0,1,0,33,3,9,6,1,21,4,6,5,1,1,1,1,1,0,2.33,1,1,1,1,0,1
