"test_class_name","cycle_id","tests","failures_0","failures_1","failures_2","failures_3","current_failures","failures_%","time_0","time","time_since","AvgCyclomatic","AvgCyclomaticModified","AvgCyclomaticStrict","AvgEssential","AvgLine","AvgLineBlank","AvgLineCode","AvgLineComment","CountDeclClass","CountDeclClassMethod","CountDeclClassVariable","CountDeclExecutableUnit","CountDeclFunction","CountDeclInstanceMethod","CountDeclInstanceVariable","CountDeclMethod","CountDeclMethodDefault","CountDeclMethodPrivate","CountDeclMethodProtected","CountDeclMethodPublic","CountLine","CountLineBlank","CountLineCode","CountLineCodeDecl","CountLineCodeExe","CountLineComment","CountSemicolon","CountStmt","CountStmtDecl","CountStmtExe","MaxCyclomatic","MaxCyclomaticModified","MaxCyclomaticStrict","MaxEssential","MaxNesting","RatioCommentToCode","SumCyclomatic","SumCyclomaticModified","SumCyclomaticStrict","SumEssential","D_priority","reward_dynamic_median"
"org/apache/commons/codec/language/bm/BeiderMorseEncoderTest.java","5a9c79f6d7f0c2849320d573fc1f92fd89c570b8",13,0,0,0,0,0,0,0.006999999999999999,0.011000000000000001,0.14636913140614827,1,1,1,1,4,0,4,0,1,0,0,10,10,10,0,10,0,0,1,9,104,14,62,36,21,28,29,40,25,15,1,1,1,1,0,0.45,10,10,10,10,1,1
"org/apache/commons/codec/language/bm/RuleTest.java","5a9c79f6d7f0c2849320d573fc1f92fd89c570b8",2,0,0,0,0,0,0,0,0.168,0,1,1,1,1,6,0,6,0,1,1,0,3,3,2,4,3,0,0,0,3,68,10,36,20,12,22,19,23,17,6,1,1,1,1,0,0.61,3,3,3,3,0,0
"org/apache/commons/codec/language/bm/PhoneticEngineTest.java","5a9c79f6d7f0c2849320d573fc1f92fd89c570b8",6,0,0,0,0,0,0,0.131,0.06,0.14676781098047892,1,1,1,1,9,0,8,0,1,1,0,3,3,2,5,3,0,0,0,3,76,11,43,21,20,22,21,25,18,7,1,1,1,1,0,0.51,3,3,3,3,0,1
"org/apache/commons/codec/language/bm/BeiderMorseEncoderTest.java","d61d1cf0652ef679bf18e3668ebe99a17a0d0f85",13,0,0,0,0,0,0,0.011000000000000001,0.011000000000000001,0.14614813327789306,1,1,1,1,4,0,4,0,1,0,0,10,10,10,0,10,0,0,1,9,104,14,62,36,21,28,29,40,25,15,1,1,1,1,0,0.45,10,10,10,10,1,1
"org/apache/commons/codec/language/bm/RuleTest.java","d61d1cf0652ef679bf18e3668ebe99a17a0d0f85",2,0,0,0,0,0,0,0.168,0.16699999999999998,0.1461479385693868,1,1,1,1,6,0,6,0,1,1,0,3,3,2,4,3,0,0,0,3,68,10,36,20,12,22,19,23,17,6,1,1,1,1,0,0.61,3,3,3,3,0,0
"org/apache/commons/codec/language/bm/PhoneticEngineTest.java","d61d1cf0652ef679bf18e3668ebe99a17a0d0f85",6,0,0,0,0,0,0,0.06,0.054000000000000006,0.14615368843078613,1,1,1,1,9,0,8,0,1,1,0,3,3,2,5,3,0,0,0,3,76,11,43,21,20,22,21,25,18,7,1,1,1,1,0,0.51,3,3,3,3,0,1
"org/apache/commons/codec/language/bm/PhoneticEngineTest.java","925e8044356673d0bd6bd5caa8cfabe37c7c1337",6,0,0,0,0,0,0,0.054000000000000006,0.209,0.13869307041168213,1,1,1,1,9,0,8,0,1,1,0,3,3,2,5,3,0,0,0,3,76,11,43,21,20,22,21,25,18,7,1,1,1,1,0,0.51,3,3,3,3,0,0
"org/apache/commons/codec/language/bm/BeiderMorseEncoderTest.java","925e8044356673d0bd6bd5caa8cfabe37c7c1337",13,0,0,0,0,0,0,0.011000000000000001,0.009000000000000001,0.13965926965077718,1,1,1,1,4,0,4,0,1,0,0,10,10,10,0,10,0,0,1,9,104,14,62,36,21,28,29,40,25,15,1,1,1,1,0,0.45,10,10,10,10,1,1
"org/apache/commons/codec/language/bm/BeiderMorseEncoderTest.java","591a2ecaf3fd08b8f77d2f1e2e15f2258b583fae",14,0,0,0,0,0,0,0.009000000000000001,0.184,0.13483051458994547,1,1,1,1,5,0,5,0,1,0,0,11,11,11,0,11,0,0,1,10,126,15,83,45,35,28,45,58,33,25,2,2,2,1,1,0.34,12,12,12,11,0,0
"org/apache/commons/codec/language/bm/PhoneticEngineTest.java","a5faa6d74944aaa8afd245190fa9b8aede6248b1",6,0,0,0,0,0,0,0.209,0.213,0.27552614609400433,1,1,1,1,9,0,8,0,1,1,0,3,3,2,5,3,0,0,0,3,76,11,43,21,20,22,21,25,18,7,1,1,1,1,0,0.51,3,3,3,3,0,0
"org/apache/commons/codec/language/bm/BeiderMorseEncoderTest.java","a5faa6d74944aaa8afd245190fa9b8aede6248b1",14,0,0,0,0,0,0,0.184,0.006999999999999999,0.14076711734135947,1,1,1,1,5,0,5,0,1,0,0,11,11,11,0,11,0,0,1,10,126,15,83,45,35,28,45,58,33,25,2,2,2,1,1,0.34,12,12,12,11,1,1
"org/apache/commons/codec/language/bm/BeiderMorseEncoderTest.java","567b8e5a9b1ee42e2709ba7d32d452a712564101",14,0,0,0,0,0,0,0.006999999999999999,0.182,0.1368637800216675,1,1,1,1,5,0,5,0,1,0,0,11,11,11,0,11,0,0,1,10,125,15,81,44,34,29,45,58,33,25,2,2,2,1,1,0.36,12,12,12,11,0,0
"org/apache/commons/codec/language/bm/BeiderMorseEncoderTest.java","87c482725e50eadf01d7312c8eac1be2e7d50ce9",14,0,0,0,0,0,0,0.182,0.18,0.14489558537801106,1,1,1,1,5,0,5,0,1,0,0,11,11,11,0,11,0,0,1,10,125,15,82,45,34,28,45,58,33,25,2,2,2,1,1,0.34,12,12,12,11,0,0
"org/apache/commons/codec/language/bm/PhoneticEngineTest.java","0224a5efcca8f29db7faa71cef90ea5ed543ae46",6,0,0,0,0,0,0,0.213,0.20600000000000002,0.4240611672401428,1,1,1,1,9,0,8,0,1,1,0,3,3,2,5,3,0,0,0,3,76,11,43,21,20,22,21,25,18,7,1,1,1,1,0,0.51,3,3,3,3,0,0
"org/apache/commons/codec/language/bm/BeiderMorseEncoderTest.java","0224a5efcca8f29db7faa71cef90ea5ed543ae46",14,0,0,0,0,0,0,0.18,0.011000000000000001,0.14225716988245646,1,1,1,1,5,0,5,0,1,0,0,11,11,11,0,11,0,0,1,10,125,15,82,45,34,28,45,58,33,25,2,2,2,1,1,0.34,12,12,12,11,1,1
"org/apache/commons/codec/language/bm/RuleTest.java","d85ae3aaaac18a8f672bab6c1b1acdc3f24ba0a4",2,0,0,0,0,0,0,0.16699999999999998,0.149,0.9881325483322143,1,1,1,1,6,0,6,0,1,1,0,3,3,2,4,3,0,0,0,3,68,10,36,20,12,22,19,23,17,6,1,1,1,1,0,0.61,3,3,3,3,0,0
"org/apache/commons/codec/language/bm/BeiderMorseEncoderTest.java","d85ae3aaaac18a8f672bab6c1b1acdc3f24ba0a4",14,0,0,0,0,0,0,0.011000000000000001,0.011000000000000001,0.14962982734044392,1,1,1,1,5,0,5,0,1,0,0,11,11,11,0,11,0,0,1,10,125,15,82,45,34,28,45,58,33,25,2,2,2,1,1,0.34,12,12,12,11,1,1
"org/apache/commons/codec/language/bm/PhoneticEngineTest.java","d85ae3aaaac18a8f672bab6c1b1acdc3f24ba0a4",6,0,0,0,0,0,0,0.20600000000000002,0.055,0.1502341151237488,1,1,1,1,9,0,8,0,1,1,0,3,3,2,5,3,0,0,0,3,76,11,43,21,20,22,21,25,18,7,1,1,1,1,0,0.51,3,3,3,3,0,1
"org/apache/commons/codec/language/bm/PhoneticEngineTest.java","53f15e128a1b5fd872c68c922ec8aab1b1a8c578",6,0,0,0,0,0,0,0.055,0.20800000000000002,0.14254633585611978,1,1,1,1,9,0,8,0,1,1,0,3,3,2,5,3,0,0,0,3,76,11,43,21,20,22,21,25,18,7,1,1,1,1,0,0.51,3,3,3,3,0,0
"org/apache/commons/codec/language/bm/BeiderMorseEncoderTest.java","53f15e128a1b5fd872c68c922ec8aab1b1a8c578",14,0,0,0,0,0,0,0.011000000000000001,0.011000000000000001,0.1431985060373942,1,1,1,1,5,0,5,0,1,0,0,11,11,11,0,11,0,0,1,10,125,15,82,45,34,28,45,58,33,25,2,2,2,1,1,0.34,12,12,12,11,1,1
"org/apache/commons/codec/language/bm/BeiderMorseEncoderTest.java","07e106fcd227cb0d5bbac3d18dc7f2ebd3906607",15,0,0,0,0,0,0,0.011000000000000001,0.20199999999999999,0.14632816314697267,1,1,1,1,5,0,5,0,1,0,0,12,12,12,0,12,0,0,1,11,134,16,90,49,38,28,49,63,35,28,2,2,2,1,1,0.31,13,13,13,12,0,0
"org/apache/commons/codec/language/bm/PhoneticEngineTest.java","437ae4586cadb054e2a7a078578a4213dd45d47e",6,0,0,0,0,0,0,0.20800000000000002,0.218,0.2882969657580058,1,1,1,1,9,0,8,0,1,1,0,3,3,2,5,3,0,0,0,3,76,11,43,21,20,22,21,25,18,7,1,1,1,1,0,0.51,3,3,3,3,0,0
"org/apache/commons/codec/language/bm/BeiderMorseEncoderTest.java","437ae4586cadb054e2a7a078578a4213dd45d47e",15,0,0,0,0,0,0,0.20199999999999999,0.01,0.1419366161028544,1,1,1,1,5,0,5,0,1,0,0,12,12,12,0,12,0,0,1,11,134,16,90,49,38,28,49,63,35,28,2,2,2,1,1,0.31,13,13,13,12,1,1
"org/apache/commons/codec/language/bm/BeiderMorseEncoderTest.java","bd0a96e8f61c3a5209e60efe2d60962b98735300",15,0,0,0,0,0,0,0.01,0.008,0.1406152844429016,1,1,1,1,5,0,5,0,1,0,0,12,12,12,0,12,0,0,1,11,134,16,90,49,38,28,49,63,35,28,2,2,2,1,1,0.31,13,13,13,12,1,1
"org/apache/commons/codec/language/bm/LanguageGuessingTest.java","bd0a96e8f61c3a5209e60efe2d60962b98735300",16,0,0,0,0,0,0,0.091,0.102,1.8542389313379923,1,1,1,1,10,0,8,1,1,1,2,3,3,2,4,3,0,0,0,3,83,13,46,24,22,25,23,28,21,7,2,2,2,1,1,0.54,4,4,4,3,0,1
"org/apache/commons/codec/language/bm/PhoneticEngineTest.java","bd0a96e8f61c3a5209e60efe2d60962b98735300",6,0,0,0,0,0,0,0.218,0.154,0.14157251516977945,1,1,1,1,9,0,8,0,1,1,0,3,3,2,5,3,0,0,0,3,76,11,43,21,20,22,21,25,18,7,1,1,1,1,0,0.51,3,3,3,3,0,0
