"test_class_name","cycle_id","tests","failures_0","failures_1","failures_2","failures_3","current_failures","failures_%","time_0","time","time_since","AvgCyclomatic","AvgCyclomaticModified","AvgCyclomaticStrict","AvgEssential","AvgLine","AvgLineBlank","AvgLineCode","AvgLineComment","CountDeclClass","CountDeclClassMethod","CountDeclClassVariable","CountDeclExecutableUnit","CountDeclFunction","CountDeclInstanceMethod","CountDeclInstanceVariable","CountDeclMethod","CountDeclMethodDefault","CountDeclMethodPrivate","CountDeclMethodProtected","CountDeclMethodPublic","CountLine","CountLineBlank","CountLineCode","CountLineCodeDecl","CountLineCodeExe","CountLineComment","CountSemicolon","CountStmt","CountStmtDecl","CountStmtExe","MaxCyclomatic","MaxCyclomaticModified","MaxCyclomaticStrict","MaxEssential","MaxNesting","RatioCommentToCode","SumCyclomatic","SumCyclomaticModified","SumCyclomaticStrict","SumEssential","D_priority","reward_dynamic_median"
"org/apache/commons/io/input/ClassLoaderObjectInputStreamTest.java","f9e08f8eed413e17c5d7655c686e7f4019779950",6,0,0,0,0,0,0,0,0.055,0,1,1,1,1,9,1,7,0,3,0,1,13,11,13,6,13,1,1,0,11,185,40,120,70,73,25,78,94,62,32,2,2,2,1,1,0.21,15,15,15,13,1,1
"org/apache/commons/io/output/TaggedOutputStreamTest.java","e263a7cf75537a505a69015bdf2312d4a1a0fc41",3,0,0,0,0,0,0,0,0.012,0,4,4,4,1,29,2,26,1,1,0,0,3,3,3,0,3,0,0,0,3,122,14,86,18,62,22,48,61,17,44,7,7,7,1,2,0.26,12,12,12,3,1,1
"org/apache/commons/io/CopyUtilsTest.java","e263a7cf75537a505a69015bdf2312d4a1a0fc41",11,0,0,0,0,0,0,0,0.013,0,1,1,1,1,10,1,7,0,1,0,1,14,14,14,1,14,0,0,0,14,223,46,130,72,81,53,90,105,65,40,1,1,1,1,0,0.41,14,14,14,14,1,1
"org/apache/commons/io/output/ProxyOutputStreamTest.java","e263a7cf75537a505a69015bdf2312d4a1a0fc41",2,0,0,0,0,0,0,0,0.002,0,1,1,1,1,6,0,6,0,2,0,0,4,4,4,2,4,0,0,1,3,57,8,30,12,13,19,15,21,12,9,2,2,2,1,1,0.63,5,5,5,4,1,1
"org/apache/commons/io/output/ByteArrayOutputStreamTestCase.java","e263a7cf75537a505a69015bdf2312d4a1a0fc41",3,0,0,0,0,0,0,0,0.005,0,2,2,2,1,18,2,13,2,1,1,1,9,9,8,0,9,0,5,0,4,215,35,138,46,92,42,97,118,44,74,3,3,3,3,2,0.3,18,18,18,11,1,1
"org/apache/commons/io/output/DeferredFileOutputStreamTest.java","e263a7cf75537a505a69015bdf2312d4a1a0fc41",10,0,0,0,0,0,0,0,0.022,0,2,2,2,1,26,2,19,5,1,0,0,12,12,12,2,12,0,1,0,11,376,49,240,65,160,88,137,164,56,108,4,4,4,1,2,0.37,27,27,27,12,1,1
"org/apache/commons/io/IOUtilsWriteTestCase.java","e263a7cf75537a505a69015bdf2312d4a1a0fc41",53,0,0,0,0,0,0,0,0.024,0,1,1,1,1,10,1,9,0,1,0,1,56,56,56,1,56,0,0,0,56,728,162,523,237,384,57,359,431,217,214,2,2,2,1,1,0.11,71,71,71,56,1,1
"org/apache/commons/io/DemuxTestCase.java","e263a7cf75537a505a69015bdf2312d4a1a0fc41",2,0,0,0,0,0,0,0,0.209,0,1,1,1,1,11,0,10,0,3,0,9,13,13,13,8,13,2,6,0,5,237,30,186,86,83,21,93,116,64,52,3,3,3,1,2,0.11,19,19,19,13,0,0
"org/apache/commons/io/output/TeeOutputStreamTest.java","e263a7cf75537a505a69015bdf2312d4a1a0fc41",3,0,0,0,0,0,0,0,0.004,0,1,1,1,1,10,0,8,1,3,0,0,7,7,7,1,7,0,1,0,6,119,18,74,28,40,27,46,62,30,32,4,4,4,1,1,0.36,13,13,13,7,1,1
"org/apache/commons/io/IOUtilsCopyTestCase.java","e263a7cf75537a505a69015bdf2312d4a1a0fc41",23,0,0,0,0,0,0,0,0.04,0,1,1,1,1,11,1,9,0,1,0,1,27,27,27,1,27,0,1,0,26,408,69,280,130,193,71,186,226,116,110,2,2,2,1,1,0.25,39,39,39,27,1,1
"org/apache/commons/io/output/CloseShieldOutputStreamTest.java","e263a7cf75537a505a69015bdf2312d4a1a0fc41",1,0,0,0,0,0,0,0,0.002,0,1,1,1,1,9,0,8,1,2,0,0,3,3,3,3,3,0,0,1,2,64,9,32,11,16,23,18,23,11,12,2,2,2,1,1,0.72,4,4,4,3,1,1
"org/apache/commons/io/HexDumpTest.java","e263a7cf75537a505a69015bdf2312d4a1a0fc41",1,0,0,0,0,0,0,0,0.005,0,6,6,7,1,54,5,44,4,1,0,0,4,4,4,0,4,0,2,0,2,256,33,185,25,144,38,140,168,38,130,23,23,23,1,3,0.21,27,27,28,4,1,1
"org/apache/commons/io/output/LockableFileWriterTest.java","e263a7cf75537a505a69015bdf2312d4a1a0fc41",7,0,0,0,0,0,0,0,0.017,0,1,1,1,1,17,0,15,1,1,0,0,10,10,10,5,10,0,0,0,10,230,21,169,39,122,40,105,127,37,90,3,3,3,1,2,0.24,17,17,17,10,1,1
"org/apache/commons/io/input/CountingInputStreamTest.java","e263a7cf75537a505a69015bdf2312d4a1a0fc41",10,0,0,0,0,0,0,0,0.034,0,1,1,1,1,15,2,11,1,1,0,0,11,11,11,0,11,0,0,0,11,212,41,139,66,106,33,109,123,66,57,3,3,3,1,1,0.24,13,13,13,11,1,1
"org/apache/commons/io/FileUtilsTestCase.java","e263a7cf75537a505a69015bdf2312d4a1a0fc41",131,0,0,0,0,0,0,2.399,2.386,0.9308669527371725,1,1,1,1,15,1,12,1,5,0,4,146,146,146,4,146,3,2,4,137,2597,402,1897,626,1480,304,1231,1475,588,887,15,15,15,1,3,0.16,234,234,236,146,0,0
"org/apache/commons/io/output/CountingOutputStreamTest.java","e263a7cf75537a505a69015bdf2312d4a1a0fc41",2,0,0,0,0,0,0,0,0.037000000000000005,0,2,2,2,1,19,2,14,1,1,0,0,4,4,4,0,4,0,1,0,3,116,22,68,20,44,26,52,64,25,39,5,5,5,1,1,0.38,11,11,11,4,1,1
"org/apache/commons/io/input/BoundedInputStreamTest.java","e263a7cf75537a505a69015bdf2312d4a1a0fc41",2,0,0,0,0,0,0,0,0.005,0,2,2,2,1,16,2,11,3,1,0,0,4,4,4,0,4,0,1,0,3,100,17,50,15,32,33,40,49,19,30,4,4,4,1,1,0.66,8,8,8,4,1,1
"org/apache/commons/io/filefilter/FileFilterTestCase.java","e263a7cf75537a505a69015bdf2312d4a1a0fc41",47,0,0,0,0,0,0,2.083,2.091,0.9313498218854268,2,2,2,1,23,3,18,1,1,0,2,51,51,51,0,51,0,0,0,51,1316,238,979,244,806,120,707,809,231,578,7,7,7,1,2,0.12,103,103,104,51,0,0
"org/apache/commons/io/input/XmlStreamReaderTest.java","e263a7cf75537a505a69015bdf2312d4a1a0fc41",15,0,0,0,0,0,0,0,0.224,0,1,1,1,1,13,0,11,0,1,0,20,25,25,25,0,25,0,1,7,17,464,58,366,132,261,42,239,276,96,180,4,4,4,1,1,0.11,40,40,41,25,0,0
