test_class_name,cycle_id,tests,failures_0,failures_1,failures_2,failures_3,current_failures,failures_%,time_0,time,time_since,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,A_priority,A_priority_with_time,B_priority,B_priority_with_time,C_priority,C_priority_with_time,D_priority
org/apache/commons/validator/UrlTest.java,df36a9af8532a9a12618d08c4b72aace3191f343,5,0,0,0,0,0,0.0,0,1.9080000000000001,0.0,2,2,2,1,13,0,12,1,1,2,0,11,11,9,12,11,1,1,1,8,281,26,212,110,162,58,89,119,55,64,9,9,9,1,4,0.27,30,30,30,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/validator/GenericValidatorTest.java,df36a9af8532a9a12618d08c4b72aace3191f343,2,0,0,0,0,0,0.0,0,0.0,0.0,1,1,1,1,15,2,10,3,1,0,0,3,3,3,0,3,0,0,0,3,77,12,35,6,25,30,27,31,6,25,1,1,1,1,0,0.86,3,3,3,3,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/apache/commons/validator/GenericValidatorTest.java,5a671225d61d649349e039a77da9cb619568ac37,2,0,0,0,0,0,0.0,0,0.001,0.35659773349761964,1,1,1,1,15,2,10,3,1,0,0,3,3,3,0,3,0,0,0,3,77,12,35,6,25,30,27,31,6,25,1,1,1,1,0,0.86,3,3,3,3,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/apache/commons/validator/UrlTest.java,5a671225d61d649349e039a77da9cb619568ac37,5,0,0,0,0,0,0.0,1.9080000000000001,1.8980000000000001,0.3576006015141805,2,2,2,1,13,0,12,1,1,2,0,11,11,9,12,11,1,1,1,8,281,26,212,110,162,58,89,119,55,64,9,9,9,1,4,0.27,30,30,30,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/validator/ValidatorTest.java,82b606bdc99b94dfa789f1c6554169d01bcee36f,4,0,0,0,0,0,0.0,0,0.009000000000000001,0.0,1,1,1,1,19,4,13,2,2,2,0,12,12,10,2,12,0,1,0,11,286,67,173,63,129,46,124,145,63,82,3,3,5,3,2,0.27,19,19,21,14,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/apache/commons/validator/ExtensionTest.java,82b606bdc99b94dfa789f1c6554169d01bcee36f,8,0,0,0,0,0,0.0,0,0.053,0.0,1,1,1,1,26,5,13,7,1,0,4,11,11,11,1,11,0,0,2,9,363,78,158,60,129,127,129,143,60,83,2,2,2,1,1,0.8,12,12,12,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/validator/VarTest.java,82b606bdc99b94dfa789f1c6554169d01bcee36f,1,0,0,0,0,0,0.0,0,0.013000000000000001,0.0,1,1,1,1,14,1,9,3,1,0,2,4,4,4,0,4,0,0,2,2,107,19,46,17,32,42,36,41,17,24,1,1,1,1,0,0.91,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/validator/EntityImportTest.java,82b606bdc99b94dfa789f1c6554169d01bcee36f,2,0,0,0,0,0,0.0,0,0.013999999999999999,0.0,1,1,1,1,6,0,4,2,1,0,0,3,3,3,0,3,0,0,0,3,51,6,18,11,7,27,10,14,11,3,1,1,1,1,0,1.5,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/validator/MultipleConfigFilesTest.java,82b606bdc99b94dfa789f1c6554169d01bcee36f,5,0,0,0,0,0,0.0,0,0.06,0.0,1,1,1,1,30,5,15,8,1,0,2,7,7,7,1,7,0,0,1,6,267,55,119,47,95,93,97,106,46,60,2,2,2,1,1,0.78,8,8,8,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/validator/RetrieveFormTest.java,82b606bdc99b94dfa789f1c6554169d01bcee36f,5,0,0,0,0,0,0.0,0,0.22899999999999998,0.0,1,1,1,1,19,5,7,6,1,0,2,9,9,9,1,9,0,2,1,6,232,62,81,29,53,89,56,67,29,38,2,2,2,1,1,1.1,10,10,10,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/apache/commons/validator/ValidatorResourcesTest.java,82b606bdc99b94dfa789f1c6554169d01bcee36f,1,0,0,0,0,0,0.0,0,0.006,0.0,1,1,1,1,10,1,5,4,1,0,0,2,2,2,0,2,0,0,0,2,53,7,17,8,5,29,8,12,8,4,2,2,2,1,1,1.71,3,3,3,2,0.0,1.0,0.0,1.0,0.0,1.0,1.0
