913 qid:1 1:16 2:0 3:0 4:0 5:0 6:0.0 7:0.0 8:0.0 9:1 10:1 11:1 12:1 13:10 14:0 15:8 16:1 17:1 18:1 19:2 20:3 21:3 22:2 23:4 24:3 25:0 26:0 27:0 28:3 29:83 30:13 31:46 32:24 33:22 34:25 35:23 36:28 37:21 38:7 39:2 40:2 41:2 42:1 43:1 44:0.54 45:4 46:4 47:4 48:3
993 qid:1 1:13 2:0 3:0 4:0 5:0 6:0.0 7:0.0 8:0.0 9:1 10:1 11:1 12:1 13:4 14:0 15:4 16:0 17:1 18:0 19:0 20:10 21:10 22:10 23:0 24:10 25:0 26:0 27:1 28:9 29:104 30:14 31:62 32:36 33:21 34:28 35:29 36:40 37:25 38:15 39:1 40:1 41:1 42:1 43:0 44:0.45 45:10 46:10 47:10 48:10
877 qid:1 1:6 2:0 3:0 4:0 5:0 6:0.0 7:0.0 8:0.0 9:1 10:1 11:1 12:1 13:9 14:0 15:8 16:0 17:1 18:1 19:0 20:3 21:3 22:2 23:5 24:3 25:0 26:0 27:0 28:3 29:76 30:11 31:43 32:21 33:20 34:22 35:21 36:25 37:18 38:7 39:1 40:1 41:1 42:1 43:0 44:0.51 45:3 46:3 47:3 48:3
989 qid:2 1:13 2:0 3:0 4:0 5:0 6:0.0 7:0.006999999999999999 8:0.14636913140614827 9:1 10:1 11:1 12:1 13:4 14:0 15:4 16:0 17:1 18:0 19:0 20:10 21:10 22:10 23:0 24:10 25:0 26:0 27:1 28:9 29:104 30:14 31:62 32:36 33:21 34:28 35:29 36:40 37:25 38:15 39:1 40:1 41:1 42:1 43:0 44:0.45 45:10 46:10 47:10 48:10
845 qid:2 1:2 2:0 3:0 4:0 5:0 6:0.0 7:0.0 8:0.0 9:1 10:1 11:1 12:1 13:6 14:0 15:6 16:0 17:1 18:1 19:0 20:3 21:3 22:2 23:4 24:3 25:0 26:0 27:0 28:3 29:68 30:10 31:36 32:20 33:12 34:22 35:19 36:23 37:17 38:6 39:1 40:1 41:1 42:1 43:0 44:0.61 45:3 46:3 47:3 48:3
941 qid:2 1:6 2:0 3:0 4:0 5:0 6:0.0 7:0.131 8:0.14676781098047892 9:1 10:1 11:1 12:1 13:9 14:0 15:8 16:0 17:1 18:1 19:0 20:3 21:3 22:2 23:5 24:3 25:0 26:0 27:0 28:3 29:76 30:11 31:43 32:21 33:20 34:22 35:21 36:25 37:18 38:7 39:1 40:1 41:1 42:1 43:0 44:0.51 45:3 46:3 47:3 48:3
989 qid:3 1:13 2:0 3:0 4:0 5:0 6:0.0 7:0.011000000000000001 8:0.14614813327789306 9:1 10:1 11:1 12:1 13:4 14:0 15:4 16:0 17:1 18:0 19:0 20:10 21:10 22:10 23:0 24:10 25:0 26:0 27:1 28:9 29:104 30:14 31:62 32:36 33:21 34:28 35:29 36:40 37:25 38:15 39:1 40:1 41:1 42:1 43:0 44:0.45 45:10 46:10 47:10 48:10
846 qid:3 1:2 2:0 3:0 4:0 5:0 6:0.0 7:0.168 8:0.1461479385693868 9:1 10:1 11:1 12:1 13:6 14:0 15:6 16:0 17:1 18:1 19:0 20:3 21:3 22:2 23:4 24:3 25:0 26:0 27:0 28:3 29:68 30:10 31:36 32:20 33:12 34:22 35:19 36:23 37:17 38:6 39:1 40:1 41:1 42:1 43:0 44:0.61 45:3 46:3 47:3 48:3
947 qid:3 1:6 2:0 3:0 4:0 5:0 6:0.0 7:0.06 8:0.14615368843078613 9:1 10:1 11:1 12:1 13:9 14:0 15:8 16:0 17:1 18:1 19:0 20:3 21:3 22:2 23:5 24:3 25:0 26:0 27:0 28:3 29:76 30:11 31:43 32:21 33:20 34:22 35:21 36:25 37:18 38:7 39:1 40:1 41:1 42:1 43:0 44:0.51 45:3 46:3 47:3 48:3
811 qid:4 1:6 2:0 3:0 4:0 5:0 6:0.0 7:0.054000000000000006 8:0.13869307041168213 9:1 10:1 11:1 12:1 13:9 14:0 15:8 16:0 17:1 18:1 19:0 20:3 21:3 22:2 23:5 24:3 25:0 26:0 27:0 28:3 29:76 30:11 31:43 32:21 33:20 34:22 35:21 36:25 37:18 38:7 39:1 40:1 41:1 42:1 43:0 44:0.51 45:3 46:3 47:3 48:3
991 qid:4 1:13 2:0 3:0 4:0 5:0 6:0.0 7:0.011000000000000001 8:0.13965926965077718 9:1 10:1 11:1 12:1 13:4 14:0 15:4 16:0 17:1 18:0 19:0 20:10 21:10 22:10 23:0 24:10 25:0 26:0 27:1 28:9 29:104 30:14 31:62 32:36 33:21 34:28 35:29 36:40 37:25 38:15 39:1 40:1 41:1 42:1 43:0 44:0.45 45:10 46:10 47:10 48:10
