"cycle_id","end_to_end[sec]","selection_time[sec]","tests_exec_time[sec]","startup_time[sec]"
"5a9c79f6d7f0c2849320d573fc1f92fd89c570b8",6,1,0.239,4.761
"d61d1cf0652ef679bf18e3668ebe99a17a0d0f85",6,2,0.23199999999999998,3.768
"925e8044356673d0bd6bd5caa8cfabe37c7c1337",6,2,0.218,3.782
"591a2ecaf3fd08b8f77d2f1e2e15f2258b583fae",6,1,0.184,4.816
"a5faa6d74944aaa8afd245190fa9b8aede6248b1",7,2,0.22,4.779999999999999
"567b8e5a9b1ee42e2709ba7d32d452a712564101",4,1,0.182,2.818
"87c482725e50eadf01d7312c8eac1be2e7d50ce9",5,1,0.18,3.8200000000000003
"0224a5efcca8f29db7faa71cef90ea5ed543ae46",6,1,0.217,4.7829999999999995
"d85ae3aaaac18a8f672bab6c1b1acdc3f24ba0a4",7,2,0.215,4.785
"53f15e128a1b5fd872c68c922ec8aab1b1a8c578",6,1,0.219,4.781
"07e106fcd227cb0d5bbac3d18dc7f2ebd3906607",6,2,0.202,3.798
"437ae4586cadb054e2a7a078578a4213dd45d47e",6,1,0.228,4.772
"bd0a96e8f61c3a5209e60efe2d60962b98735300",6,1,0.264,4.736
"a72621c3791a66090274bf5ae42e92114babb872",6,2,0.053000000000000005,3.947
"cec801e6b0050ab4d8d94872b92473b1a4cf0f2d",6,1,0.262,4.7379999999999995
"b7d0dab28185046ffc64b8f36d231a2274b839c6",5,1,0.188,3.8120000000000003
"ddc7143ed89a6c92bbafb89bbe8e1fc4937a878c",7,2,0.367,4.633
"fee232d8cd73010fdcfee15ef1d3cb54a716a437",6,1,0.33299999999999996,4.667
"ae537ccef18ed5d78c89a750f99258e87d409948",6,1,0.35000000000000003,4.65
"feb22812e14df3863e7b8d3156def7e0379abc01",8,3,3.7420000000000004,1.2579999999999991
"40dee74b30d97410fa0e31b08d484be489afa510",6,1,0.456,4.5440000000000005
"cc17109d2cce8ca52f484dde84c38f8ae51a2f63",8,1,2.118,4.882
"c35dcd2b488f4d2368d8db6d0f92c27b03794cc8",24,3,17.096999999999998,3.9030000000000022
"5ecb2b8549ea8677d450d16d387ec9f4cbcbbc1a",16,2,5.176,8.824
"377691c6a2c8e7f4798584d1bd4f2c8749f2fc11",25,4,12.502,8.497999999999998
"54f7ca3483251eab0621f75a3373231129753767",11,1,2.494,7.506
"c714697cb1a79c30ec4a30adc14d8efbdd9933c7",6,2,0.295,3.705
"0bc53db8bdba6c605fec29fd2c55ad847e14b2a2",8,1,1.537,5.463
"6e2c9e115d9a3f37f47fc4162c20aa4e70f23e7b",7,2,0.765,4.234999999999999
"43f0bf573406415b578aae341b08af949ea031ce",10,1,4.396,4.604
"d202ba3b9b4a294499231446b7abe351ede0f997",10,2,4.213,3.787
"161677911f5ab798708503eb13859e8403281c7f",10,2,3.052,4.948
"6677acc3d03e2b68c6f0298285d35443c4ee0e3a",10,2,3.7809999999999997,4.219
"e04a7e54a68bb76a7bf5c00c5c6f1efc83680e9c",10,2,3.09,4.91
"1c7dec13b004f8c248ffb9203265f0d67bfe04ae",9,2,3.764,3.2360000000000007
"9272992fc5edfae9ef806e5dd5ff926cded07cfe",9,2,2.849,4.151
"e3b7364d4d48f71f2583f2215da3bde8d890b359",10,2,2.972,5.0280000000000005
"92fab79e30573bd8fbe3aad4a37ae3c6e6c38871",5,1,0.041,3.959
"dfff43abfeb97d5b34f6c7a3e779f1ba804b6631",10,2,2.683,5.317
"45041961f9015e8c89873deef96c5bdfeea19e6b",8,1,2.9779999999999998,4.022
"8317dc1a2924cfdaac6171418feffa7d15dfa311",10,1,3.065,5.9350000000000005
"dbe80e777ef25eca49e1c105409f84d7b30fde0c",9,1,3.732,4.268
"9d1cc884ad052083fb72b4107a62b0cbe3c2a027",12,1,2.94,8.06
"446dbef41a70e70e6c5993ff314c2a27e27fdc3e",9,2,3.3320000000000003,3.6679999999999993
"2ba6771d5958050e5fee61bf02b9eba9fc816152",11,1,3.3720000000000003,6.628
"c74687e6ceef93101371c3ad066c542723087f4f",13,1,3.6060000000000008,8.393999999999998
"b263fbfc808f7aab183890aea682557720a1ec86",9,1,3.661,4.339
"5214caa011c0a976475f1f5ed2fbe4aa54c08589",10,1,2.895,6.105
"0c0c69288e84e858a34a0db2c1c385a35235f437",23,3,16.145,3.8550000000000004
"26951aa855bdd1927609a2dc72900a0adac08c6f",23,2,12.2,8.8
"29524ee6b16bde662d61c69635760f574f12c1b7",15,2,7.349,5.651
"eafc2b9db93198b247c9481f9934226c11a12fb9",14,2,7.393,4.606999999999999
"c2809b4b7ebbf2153114f0803d6b12e7f35cf5fd",6,2,0.042,3.958
"b94d06cadfb8795cf19315158624f792ee666510",8,2,0.044,5.9559999999999995
"2e94c832384093901692765f901f510115bfed79",6,1,0.042,4.958
"45c71b732ee51851882898bfa331d0563b7291d6",5,1,0.046,3.9539999999999997
"800bfcaa98b883574e3f34f0100d55543d2826a8",6,1,0.08199999999999999,4.918
"03af5cc99956ac0b60ba64bfccc0389587b584ff",6,1,0.042,4.958
"b472b1742ad55d0cdef007f10f6062990300eaf8",5,1,0.056,3.944
"300d24e65b215b1e8278286bc8b1d7a0a9a871d6",5,1,0.045,3.955
"dace53f5b2dc2791fc6a0c6981fe2756be405cec",5,1,0.069,3.931
"6db3ec307d73d1f80391e593789d2175b668d761",6,2,0.073,3.927
"6f73fb162af41879fa801d86ae2772a9ac14121c",13,1,7.193,4.807
"7211918f48e27560e523727beff689ff8545ecd2",6,1,0.092,4.9079999999999995
"486aa04647bb4f652015f3ea02c82b79c80a3de5",14,2,7.2589999999999995,4.741
"3044c24009ed733df16e5a2a0e554edfaf5cbde3",15,2,7.902000000000002,5.097999999999999
"919d3ec4adbaf64cb6b7e9f40f82432b2159d510",16,3,7.895000000000001,5.104999999999999
"bdf8e5c049a7f6bbe706c6d35bff55a79bba1e65",8,3,0.404,4.596
"197f9e393760d2add973a2bb492481eb00ec3de6",14,2,7.323,4.677
"f3db0de1fe8c429bd3c869108074fed4bdf25b3a",6,1,0.086,4.914
"7e8c20bd1b0593c3496a168be573aed40609a433",6,1,0.063,4.937
"facbc3a39c5eb2ce190c1ec597015da47c51b2c8",9,1,3.209,4.791
"75cba401aebe256ccea215674cfe403bbe4a1a75",7,2,0.08499999999999999,4.915
"805103c2fd53bf2a82575699da9b4f38a59c17fe",5,1,0.049,3.951
"229ed00b517f1cc0e1262c6903d9e4e3f22d7896",6,2,0.061,3.939
"28cb227f3b335fd11422e0579ed715624f6ed670",6,1,0.061,4.939
"9869cfec93717e4a74433b5b954903a87e6e0868",6,2,0.073,3.927
"a68102b3a67cab09f0898ee05cc7547e12061b82",6,1,0.059,4.941
"60cd70bcee64829c4756e0e7403f43fb385f99e6",6,2,0.061,3.939
"e84f6f467fdf5a29bbbc14543d4da92deb5dc39a",6,1,0.062,4.938
"0980312c6c4a3c29b5612e68c85d5d8056925974",6,1,0.058,4.942
"86beeafa9acb781ddd7cfd82c60f9bcb94743264",6,1,0.062,4.938
"642477acc96b92a5eb594037c1a01cc5df03193e",6,1,0.056,4.944
