"cycle_id","end_to_end[sec]","selection_time[sec]","tests_exec_time[sec]","startup_time[sec]"
"66338dd9c4bf1e76be830749d9bc93c7be35cb2a",11,3,0.08199999999999999,7.918
"d50feb67569fb5881b8a2ff5996f656c5f207c2e",17,6,3.004,7.996
"2a95bf89813ebf321955d191afda7e0b08d69710",15,4,2.96,8.04
"58fa9a673547c884cd1f11a8927414e563480358",16,7,0.327,8.673
"0d53852d80cc686b47b4b0c1b2069f880a09b451",10,2,0.073,7.927
"0f540f0f5848f2262e1b8937c39e269a79731efc",8,2,0.052000000000000005,5.948
"0bbe5b59af443da2c3101cb9259e7ad68152dd13",23,10,6.029,6.971
"5cf68bdc46c7bcc0fc5eb3cacd1c84514ef552cf",13,3,0.714,9.286
"f8bf45444c49053a92f6f560c5008d5ac43aa27f",16,3,2.628,10.372
"af1f8163af8b52bc28a18109858744967935d828",15,3,3.737,8.263
"c12c48ce91c6b5cceb61043a914d0b438b7a6900",9,3,0.31,5.6899999999999995
"31b546aecd87725c8a1274d1485cee89bdddfdce",14,3,2.857999999999999,8.142000000000001
"6e8bb88263dd64b703679bf853c15f40ac07e347",15,5,0.256,9.744
"24a3100e9897837b513a0d9f2ae26fd02ec91246",15,3,2.914,9.086
"3c4a09bf28e7cd600b919b8c799fbbfd19a94c0b",15,3,2.9030000000000005,9.097
"9b3e389fc692513cc701b886a9dcdab6ebf32453",14,3,2.8889999999999993,8.111
"b72b5c716ac18150396d05988d9eab745bea02b9",12,3,0.264,8.736
"8271475f973945e776ca91142349b8618c6f619e",11,2,0.268,8.732
"8682c8d4f2281f838765a213d0241366255c99a0",12,3,1.8380000000000003,7.162
"c9259fd82546bbacf9606509e5883bedde7fb062",11,3,0.278,7.7219999999999995
"a73d5f2e9b1f415201b312af8ff4af6a0f7623e1",15,4,4.11,6.890000000000001
"9ebe7bbd313efb49f3496b8af7d4b4b78f73a5b7",12,4,1.845,6.155
"171c3ac8d32ed884392b057800e691a621585d2a",14,3,4.119,6.881
"f25588258e520cbf1d388d3d9b48a4942d3d7c28",11,3,1.6360000000000001,6.364
"9e1ac89660190ec4d895855655891ad16d790fc4",27,13,7.5120000000000005,6.4879999999999995
"1dcab3f854e6fffa16c842b8a10a6fa2163795ea",14,3,2.8749999999999996,8.125
"e6e24766377e705e89358fb9cf6253e2e9e645db",13,4,0.037000000000000005,8.963000000000001
"1930eed89459d1ea726762e362143a5aa2ccaeb4",16,4,2.9549999999999996,9.045
