"cycle_id","end_to_end[sec]","selection_time[sec]","tests_exec_time[sec]","startup_time[sec]"
"f9e08f8eed413e17c5d7655c686e7f4019779950",9,1,0.055,7.945
"e263a7cf75537a505a69015bdf2312d4a1a0fc41",42,3,27.305,11.695
"b0a68dbc52507dfff51eed7ff625cc37dbebde0e",10,2,0.006999999999999999,7.993
"fe0db49d62f50afabf12da2b9077ed87c0f37ed1",74,4,52.321,17.679000000000002
"db23207891d4c88a828cacff06f799c39dd29c2c",44,5,29.736999999999995,9.263000000000005
"7233bf46d9008b026e822053d793d38c0f6d92c4",43,4,29.986000000000004,9.013999999999996
"354f627aaff8fe98d3c71fcf0a7205164fe24068",66,3,51.064,11.936
"f98a1ddc19803559812d70b4326db9c70404f0fc",31,1,21.868000000000002,8.131999999999998
"1de6355b694ed9d9e2074c3dfb5bb4f3d39e6611",10,2,0.196,7.804
"db1419aa5f6e97ae6a8e97b3ad4dea6e063d5c23",11,2,2.105,6.895
"efc754a67cddd2dfd0015498b2ee5218c6025ef3",11,1,2.438,7.561999999999999
"4f8452880afc3fbedeb1f16e1b72035c9305be30",42,2,27.110000000000003,12.889999999999997
"f4e275e781db855eda690fb3d3b48ceb9476adf1",8,1,0.23,6.77
"97aad922da38e9640bafe2011d1f437bd7ad7c95",67,3,51.297,12.703000000000003
"6bfff9055ba3db5df39445712f28f3142de2f92d",7,1,0.532,5.468
"676aa790441780aeada06499fad9b3321618ebff",9,2,0.127,6.873
"047c2346766d8ac087dc6573b9bd2b26cc26ab51",10,2,0.124,7.8759999999999994
"a39385a500fc0e8993d967a8025b931d3337ea04",7,2,0.122,4.878
"750d338864a92521f4daec993af7ef0aba9d609b",9,1,0.174,7.8260000000000005
"0f09727be891a123005992eedb16963ec14578d5",8,1,0.11699999999999999,6.883
"9f0c54042226e1b19f4eb48b8f09885ac2aa221a",8,1,0.11599999999999999,6.884
"5f3e1cecb76c4eef043607ee231f50d7d68c9108",9,2,0.142,6.8580000000000005
"bbb4c8810247c0f8697bd677eee0c9895235afcf",8,1,0.11800000000000001,6.882
"05fdca32c087afeff5f0f0901c52cfb1264a74cd",8,2,0.127,5.873
"7197abfd17530a5417097268a1e18a685edc5889",8,1,0.11199999999999999,6.888
"5d3269b1c5d2bfed8720814b439830a00f64b36a",9,2,0.11599999999999999,6.884
"e84d32281523bba86c06b457a78cf092902ab2b4",67,3,52.184999999999995,11.815000000000005
"9c38fde99627d7d8cd7ffe3c7bd704824bab0960",10,1,0.131,8.869
"b2dbfb9bbec197bf57cca03f47253d9551769bf8",66,2,51.301,12.698999999999998
"a1f4d43253ac11abe8cf3ed53876dabc885d7b30",7,1,0.23600000000000002,5.764
"d765941b4ff45091a2435e98a007d9131293e96f",7,1,0.254,5.746
"4271d0f15e0b675a83f20343eaa38fe642b09e65",6,1,0.258,4.742
"cbc5a146154ada255d491d6509497d0d57bad336",8,2,0.19699999999999998,5.803
"1d2efd6dd123884324098eee62871e007268333d",33,2,24.291,6.709
"09d8687ba1612f43769d72489a5c89d40d168718",46,9,23.099,13.900999999999996
"effe551657921069b871519156a934e4ef3ae916",84,11,53.83999999999999,19.16000000000001
"586d223e8049873dfa350e5f575e3c03e714dbcf",8,2,0.175,5.825
"9afc2969a3b491476525e100a8a542027576952e",11,2,0.398,8.602
"7705470ba1ca2bf95f6442f06f68f007f33a4aeb",31,1,21.15,8.850000000000001
"fe122baccecc1689d128482a45694a0c3e293796",67,2,51.705,13.295000000000002
"1e0666d90d8a12cb010265ca453a5cdfadf1ed77",67,2,51.589,13.411000000000001
"5a23a77eacd7f42931f2cacf81061792b5052040",68,2,52.05500000000001,13.944999999999993
"ee2f71d9fd2ce253f53de137950fa90087b9f565",67,2,52.17400000000001,12.825999999999993
