"cycle_id","end_to_end[sec]","selection_time[sec]","tests_exec_time[sec]","startup_time[sec]"
"ce0c082898e3551d313fb5b73763f399232b3fd5",23,3,2.683,17.317
"5b98a73e4db8d0cb1f29138b2f14319df7840ce1",28,6,5.629,16.371000000000002
"1d1883f0e20215720eb583fd43eee088808c616b",41,13,11.262,16.738
"bd9adbb637a8a4aa5eb61c6fde2c576d0ab3c4fa",22,3,2.7520000000000002,16.247999999999998
"0fe9685c8a78ba2d780a3ec1e1a323990dc6d218",19,3,0.117,15.883
"3899cc6570bd9176c84ad2d5d14febc6c0ddd964",19,3,0.046,15.954
"697329630f16ee37cab30004aab5b0831fc9ecc3",21,2,2.8409999999999997,16.159
"009e33bb5d2950ad46d80f0b84ac77f075378859",19,2,0.114,16.886
"0223a4d4cd127a1e209a04d8e1eff3296c0ed8c1",23,7,0.13,15.870000000000001
"aa31bc6c313789c344d715b7c1aeea0cd8de47e2",21,3,1.276,16.724
"7e85d1cf54b1e467607a0019b56f91577ebe2e4f",29,6,7.239000000000001,15.761
"13cd4e0ac3ab76a4dc091eda457f9a111727cba2",20,4,0.178,15.822
"648eebba22d6398a01b0924975bedced8469ac80",29,6,7.497999999999999,15.502
"eaa9269ac80c2a957cabed0c46173149a4137c24",29,6,7.169999999999999,15.830000000000002
"4a26a86d0c0d9a72a0505ceedc7f1e39b984c302",24,6,1.1199999999999999,16.88
"e4b7ee81c1773eeb0bb71ca53bf722f046c16a16",20,3,1.3840000000000001,15.616
"fbb5d31a581c24e925c442a7754358d2b62a669d",28,6,5.761000000000001,16.238999999999997
"ec2fa6bd5695b36435cc66ca4cdd8183d077a0cf",19,3,0.123,15.876999999999999
"a06c99b9c094d66f0d33bd69e15fe01ba52a8b05",19,3,0.126,15.874
"b2c1afce7eb13ea44fc7d25562cc3bb83cc91b2f",23,6,0.8260000000000001,16.174
"c7c85ee39892df3ca007c6596c41654865be7e43",21,6,0.179,14.821
"1f56bd103d53c8c6ba7502c6586c26be01bfdb80",23,6,1.0569999999999997,15.943000000000001
"2d61e349dbd3e2e81450c9ac531218220b7e422d",25,6,2.5159999999999996,16.484
"c503d742f094dc2048b72c3f78f5e2e6070a44e1",23,6,0.8689999999999999,16.131
"a2d41db55aa46bd4fedb215c978f03e282cf1ffb",23,6,0.8500000000000001,16.15
"71d9e00d42b278ce9d216b33bf1a9c8606fbcb49",22,6,0.8290000000000002,15.171
"0b11c6043467e9d06880a069bba68d90fbcbb018",22,6,0.08900000000000001,15.911
"a81791c093ffb27150c98585aa3bebeabd3586d5",22,6,0.11900000000000001,15.881
"291eaf16bf208e1012dc5da722a53fb5870c3035",19,3,0.17099999999999999,15.829
"d772e171d64c9dc617f16cbb8475d13792538e15",19,3,0.337,15.663
"d0049e1ac38c11d10431b2b9f76d03f3a62ab44b",24,8,0.817,15.183
"ab60f735c721103ac888d8d7b801055921336687",19,3,0.14600000000000002,15.854
"ecf6de89ba1a6542c68194e95d14ea944b6c92b7",18,2,0.092,15.908
"a2660687980b36003a612eb89b40d6fdecb4b153",21,5,0.118,15.882
"b3c31a379e9ad7cd22cb7f0669b82361ced84992",22,6,0.922,15.078
"4ff5974c4ab78f82ab43ff6e518fab72b366c1f6",22,6,0.119,15.881
"204ed0048f4812201ef65c9a0c44fa54a7d1e04f",21,5,0.111,15.889
"ae91ab56ac68bdb2a42b694167c8e6d77026210a",22,6,0.8160000000000001,15.184000000000001
"be21e8fc35f564abe742026bc234d3bc59e84bf4",21,3,2.7779999999999996,15.222000000000001
"05a6beba76b3195b26f2b15919d4f3a95b22c580",21,3,3.068,14.932
"e64b51c70fa9f5e2795e91e6729ebd895f7f3c01",22,5,0.8680000000000002,16.131999999999998
"dad86bc0a29689fd29bf03b382a39621718e8b05",49,22,11.264000000000001,15.735999999999997
"9c506279188a90dbbe124386cc52016682d17b5c",30,6,7.405,16.595
"b9f04d9be3e7ff300520da194fe29ed5c1861787",23,7,1.118,14.882
"ad1b72b7ece0166c5fbe0c6136213589eeed9945",62,31,15.102,15.897999999999996
"8eace0187ea2c0c1a6e3a5b5e24e701f6e23ae94",23,6,1.1019999999999999,15.898
"72bbbbc559992e5e6bf17279d8194aaa80c62e85",23,3,5.577,14.423
"42f2058c83f256d8654b349d5249d6f59920f88b",53,22,14.924999999999999,16.075000000000003
"d5293751676da9816a415dbc8a3cf703ff13205d",18,3,0.078,14.922
"feb7ba55120feb5e3ad3f526fae7dee1b5189d9e",20,2,0.1,17.9
"ff2672a57816d75a740813f8d26d830bd2f9b7cf",22,5,0.926,16.073999999999998
"bdb074610c87a210ea4c0d91d579cb4558f4b19f",19,2,0.89,16.11
"64d820bffae723b9c8669301b246ae199db61b5c",29,13,0.919,15.081
"09686fad46d49016057bae8f02dc79f409b7bd10",33,7,7.5299999999999985,18.470000000000002
"0807eedad6aa9544d90b2e7cec103fb9c40b714d",28,7,3.3459999999999996,17.654
"d58d64ddb1f205a54c7eb57fe0cbec9c59cad8d6",23,3,4.920000000000001,15.079999999999998
"d962a2b31c9a7216c2df557eaed3e475b13939f1",20,3,0.1,16.9
"3421e6adb4a3a4fadae79feb0f180e78e2698374",30,6,7.571,16.429000000000002
"9c5b6cdc7108eb071785b0c4edd205650cdf1ca4",33,9,6.975,17.025
"31d02f6806e4d2e9ca86706af33acca334bf2eef",23,2,4.91,16.09
"db6f7c1d74ba64211221a69cfa9fe7171a9199e8",23,3,5.271000000000001,14.729
"78c373d7bc23e81c82cac6feb66a9f6b9472f8ab",22,6,0.125,15.875
"8c99b8299df8f5af5136e4ad53ea5111f953db92",19,3,0.119,15.881
"1eecfc948bf6f4cbb9a2481313ca7368ec653056",25,7,0.7709999999999999,17.229
"ac5a216f767c6defa4da720c6ecb3baa05e30254",19,2,0.278,16.722
"cac7a60abf0a4451a5c80ef57343a14ea1ba443f",69,38,15.482,15.518
"d9a2c69a9d1db6072e1d7b7ea4fcbd5c15d20b5d",25,6,0.9650000000000001,18.035
"a3b74d9c230a85df8ebeef3169fc1cd0439c9a87",60,29,14.92,16.08
"d0f6be9886afaee6080cd4b7cd5d165c767b71f0",18,3,0.06,14.94
"8ac857c41ec8ae02e57eb0c1c1a012525e7e14b9",21,5,0.335,15.665
"10d2363fcdd6e15568f765ba0dfd5f0cfa0b04eb",21,5,0.044,15.956
"5f4249e2ec8cccb17b27a7ffd032c4fc237a6927",19,3,0.052000000000000005,15.948
"8232c096cef785a2ba88a7324b882a7badb0af44",18,2,0.053,15.947
"c6a410adf832e0e6eeee824365b1c5799bfc1391",18,2,0.078,15.922
"b10d58ece8657de1b132cbe2c766bc25f1fd2986",18,2,0.058,15.942
"a04151819758fceb7f0cb855d279c9d46b2e9851",17,2,0.058,14.942
"86a59601b570585dcb7a1ce3d1ccc8e16008f53a",23,7,0.314,15.686
"33bb9fe25b9200e75cc4bf2483b17a35df960034",33,10,7.498,15.501999999999999
"809e2bed22f02264e0ac58bba070f6d84386cfc5",20,2,1.232,16.768
"5acf310d08b2bc5182cf936616ef70938cb2c499",29,6,7.322999999999999,15.677000000000001
"38140a5d8dffec88f7c88da73ce3989770e086e6",30,6,7.416,16.584
"4a32861c326696e82efd3947384bd6d949faab28",23,6,1.075,15.925
"103b64a373256feae6ca85f2bf220e7694e48fa4",28,6,7.433000000000001,14.567
"6423a7665516d738ae50d272e3b4ca72cdb89a9d",30,6,7.2719999999999985,16.728
"91d6bd74fa358fdc8d7cb7681c76c509fd9a8e7d",23,6,0.981,16.019
"8f9271399aca64a6f5afe36d3eec365eb68e310e",23,6,1.4329999999999998,15.567
"8274993e293a79fc75829df398233915a6387a4b",21,3,0.09,17.91
"e2dbe55d56bd6c1209276050f527d36717e33e1d",21,3,0.114,17.886
"10325422e5a4735aa87a4d47bdb377e09fe963d2",23,6,0.17900000000000002,16.820999999999998
"a945ecbbdda782b51d5c2c670345fbf4dffacab7",29,6,7.305,15.695
"e4c72a5522aabfa6a660088aa9262d849756e464",22,6,0.045,15.955
"8c5335e6c67f88568099622cf37667d69db06524",29,6,7.479,15.521
"4f82195afdc4279c05826fc20f8642bfdaaafec3",65,35,13.857000000000001,16.143
"607e3447c92754d871a3f2eb8c472e45afed6c1c",27,7,3.4010000000000002,16.599
"aadb9a31ed969fc72cc87d486ec02383faa5bd06",52,21,15.248999999999999,15.751000000000005
"eb2b89efbe15ab0b70fd94f0ecd0aa03866fb4d2",57,28,12.621000000000002,16.378999999999998
"151f2cd3d80c006f4ec228cdf610c3a35feb195d",21,3,1.2719999999999996,16.728
"33884b226454324f27700f9069f4702b44ef8ced",20,2,1.408,16.592
"23108b1bd90de315aed37fa3fc1f38f8a56ab9ba",20,4,0.236,15.764
"d6644e4fbe3d125eed2d85e58fc7133466042f10",30,6,7.398999999999999,16.601
"96c8ea2fb3719e2f6e3d7a4d7b46718f26515a86",30,7,4.244,18.756
"dc53e49b4afa5d59c533cf2b4918402c37411fbd",22,4,0.036000000000000004,17.964
"f9cab271b3bc8c2fb6e2c51449ad3bc07e62e174",20,3,1.401,15.599
"383bc8eefae7e17d0bb0349ab2300488c655ec42",20,3,0.278,16.722
"eafeca43268f16aa9d4a179e44b9e7747699c1eb",18,2,0.053,15.947
"61bc7f27b498d919d0a534d00de2aa6d0ebf7447",25,6,3.55,15.45
"9b481a97010a19e375cf423ffe25dda1b40e0e47",29,6,7.476,15.524000000000001
"cfdc3f767c0063224622af168e78c6b2d2c77388",24,8,0.32599999999999996,15.674
"4733cb5b798cd72aed82a9118648b4a86c91539f",21,3,0.8160000000000001,17.184
"3f103f8c9b72ef6ada41684c122ef7bd3cc90d22",19,3,0.11,15.89
"1f73bbeb67683e8852f889e8f11c8fb1b4d963a2",18,2,0.059,15.940999999999999
"1e5c2b87792b58f45fd3b33f1373925ebfe879a0",22,6,0.189,15.811
"a40b2a907a69e51675d7d0502b2608833c4da343",30,6,7.502999999999999,16.497
"c37a911d3a1541adc25c8d76f717015b2266d123",30,7,7.6800000000000015,15.319999999999999
"2dd459003e19e4bbc2811b10d38337f295fc5a19",19,3,0.051,15.949
"a069c490e8119189fa2b43d3b597b79b3d42a367",30,6,7.683,16.317
"d79e43216faba4b3e73536915bfddc550cc0f20f",29,6,7.366,15.634
"ff4497aff8cc9de4e0b2c6e5e23e5b6550f76f29",30,6,7.257,16.743000000000002
"ea666d523021a3c33294030e7c6ac49a77be543a",20,3,0.086,16.914
"05647d46e9ac2bf674b320e8467616aa72954f3e",30,6,7.452,16.548000000000002
"8d95ae41975a2307501aa0f4a7eba296c59edce9",23,6,1.1549999999999998,15.845
"8d601ab71228f7c3dff950540e7ee6e4043e9053",25,6,1.017,17.983
"0095d8adf26b9469115b1be0358cb09d1fcb5fd4",23,6,0.8160000000000001,16.184
"0f6a292a29fedd49741310cd517ac4ba907bf8d4",23,7,0.8510000000000001,15.149000000000001
"c14890f08b9bb47ab8ad27f4dd4c714e32961d0d",24,3,5.478,15.522
"f3d2d55ab9b783af65f2050272cd0318a9ad23a2",26,3,5.359000000000001,17.641
"efdff37fbacefe35c6f459b6f8a7483d3da85f8c",21,3,2.9339999999999997,15.066
"33c104e1b4aee768558c63b2a43a88132ff93f6b",24,3,5.528,15.472000000000001
"c0771cbc3c445a9d1d2a43ac4ce3c0edbc806957",19,2,1.177,15.823
"3aface95813003ff75505e2ed7d75b072228d3f8",18,1,0.207,16.793
"2c437a12bbc578442daaef85ab486d1e55763853",17,1,0.146,15.854
"ec700cf69db225654aadce932dc000bdab302ccd",24,3,5.390000000000001,15.61
