"cycle_id","end_to_end[sec]","selection_time[sec]","tests_exec_time[sec]","startup_time[sec]"
"f08b05b15ac09709c948fbcb8f843f421c1d4db1",40,5,12.451,22.549
"02cf7cbffaf42ba6cc76452bfa70db8b2da611c6",35,6,11.655999999999999,17.344
"b69e6ca5c1a74f5a5646df240bea701922caef83",76,14,33.997,28.003
"a4118e288f01ab16e861cd7ac107fff62a32b86b",34,6,11.679,16.320999999999998
"61b2d1f34c1f3c2b14fe4a131ec5d552c3dbbb61",72,13,33.653000000000006,25.346999999999994
"75d4db00e1b1d4ef53ca4d0c5ac247ec92cdb2d9",39,8,11.383000000000001,19.616999999999997
"08e918330eb2555fc90b67957f53ce08141d3b13",190,15,145.54600000000002,29.45399999999998
"fca88f8e3d44d743e82ef2fb3ce880f8b98149a3",34,4,10.64,19.36
"25e774c315e29328697eff6d12df80ad0bc48acb",30,4,10.515,15.485
"d385c90c2e74fdfc0070f7d92d6d0c260251fc16",21,4,0.182,16.817999999999998
"792839b464bc3df40f773147b7694b761cf23b5a",23,7,0.22699999999999998,15.773
"a7363a2ae67b585790896de45f57154474480fc9",23,4,0.21100000000000002,18.789
"cc4ab51ee9e001a0a999a2a43ad5bd323494b800",40,15,5.765000000000001,19.235
"662b6cbe5ab5c3462ea9c23f2c2dfec9ad75b855",33,5,11.405,16.595
"1744e2803f1600761afb2ea8a91a7fd12f7fbc94",50,19,11.999,19.000999999999998
"8af568eabb916ad2ff780fcd0838fdf29f57e97f",124,19,82.955,22.045
"2af899b74b5969bb56a2ef813315a1d85f0c9fcc",39,6,11.691,21.308999999999997
"f25a61670e378dd7f24ac45f55df00632979192e",65,15,32.7,17.299999999999997
"2f2a2ddaf6ac85da7cfcc5957614eeb880b795d3",39,14,5.958,19.042
"2bc9e7ea86a8cc1c3b2436c46115c87080228004",23,3,0.389,19.611
"76f154179b8dc6940355d7fe7db468314ca39e84",24,4,0.205,19.795
"30b9f935e7ea56026e5c5347e897df52a3ad18a7",23,4,0.086,18.914
"e9464c0a6db34576fa390d041e702b1f03c74b37",104,19,52.698,32.30199999999999
"e875e6d59875be86fb8de8df7642c370b652eb76",134,76,28.109999999999996,29.89
"2a59e0ef4b8e70742a21bca76a629853aedbbd09",23,4,0.599,18.401
"4080feff61e8dc1cd4af2361990c33c9f1014147",27,7,0.308,19.692
"97d32b14e6dc7cce01f9c2cd53e03bb996863e51",22,5,0.318,16.682000000000002
"97accb47de63ee5063eda23641c6017e29ab81d7",19,3,0.262,15.738
"e3dda4407a3f59bd73350ac780f43eb885967b5f",31,7,4.421,19.579
"026af89ceb5f314a2086b87bd62fb08a1b17be40",26,4,0.364,21.636
"cde43197f980538e411d851735ac7a63ddd613e1",21,5,0.354,15.646
"a67f0a33e68abf1c985db28b19ce70f427fd48bd",229,17,171.97199999999995,40.02800000000005
"4cb944ea687d84a54d679fc3f5362e2950551ff3",59,14,20.958000000000006,24.041999999999994
