test_class_name,cycle_id,tests,failures,failures_%,time,timestamp,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
org/apache/commons/io/DirectoryWalkerTestCase.java,8d0e9d6cdb87188005ebc9fe839e0159031b832e,15,0,0.0,0.018000000000000002,1562591734.1671524,1,1,1,1,9,0,7,1,6,1,20,41,41,40,6,41,2,5,19,15,575,72,370,148,203,133,197,268,125,143,6,6,6,1,2,0.36,67,67,67,41
org/apache/commons/io/FileUtilsTestCase.java,8d0e9d6cdb87188005ebc9fe839e0159031b832e,131,0,0.0,2.399,1562591734.2057278,1,1,1,1,15,1,12,1,5,0,4,146,146,146,4,146,3,2,4,137,2597,402,1897,626,1480,304,1231,1475,588,887,15,15,15,1,3,0.16,234,234,236,146
org/apache/commons/io/filefilter/FileFilterTestCase.java,8d0e9d6cdb87188005ebc9fe839e0159031b832e,47,0,0.0,2.083,1562591734.2827678,2,2,2,1,23,3,18,1,1,0,2,51,51,51,0,51,0,0,0,51,1316,238,979,244,806,120,707,809,231,578,7,7,7,1,2,0.12,103,103,104,51
org/apache/commons/io/DirectoryWalkerTestCaseJava4.java,8d0e9d6cdb87188005ebc9fe839e0159031b832e,14,0,0.0,0.024,1562591734.330252,1,1,1,1,9,0,7,2,5,1,20,39,39,38,6,39,2,4,18,15,532,68,337,129,194,128,190,252,118,134,6,6,6,1,2,0.38,63,63,63,39
org/apache/commons/io/monitor/FileAlterationObserverTestCase.java,8d0e9d6cdb87188005ebc9fe839e0159031b832e,7,0,0.0,13.888,1562591734.358649,1,1,1,1,35,3,27,4,1,0,0,10,10,10,0,10,0,0,2,8,400,48,287,55,252,68,247,263,54,209,2,2,2,1,1,0.24,15,15,15,10
org/apache/commons/io/FileUtilsListFilesTestCase.java,8d0e9d6cdb87188005ebc9fe839e0159031b832e,3,0,0.0,0.03,1562591734.382456,1,1,1,1,17,1,14,1,1,0,0,9,9,9,0,9,0,3,2,4,203,28,145,35,107,30,114,129,34,95,2,2,2,1,1,0.21,13,13,13,9
org/apache/commons/io/FileUtilsCleanDirectoryTestCase.java,8d0e9d6cdb87188005ebc9fe839e0159031b832e,5,0,0.0,0.085,1562591734.4011168,1,1,1,1,10,1,7,1,1,0,0,10,10,10,1,10,0,2,2,6,153,31,89,26,51,33,46,63,23,40,3,3,4,1,1,0.37,16,16,18,10
org/apache/commons/io/FileUtilsFileNewerTestCase.java,8d0e9d6cdb87188005ebc9fe839e0159031b832e,5,0,0.0,0.013999999999999999,1562591734.4171038,1,1,1,1,12,0,6,5,1,0,2,9,9,9,2,9,0,0,3,6,162,20,69,24,39,73,37,52,22,30,2,2,2,1,1,1.06,14,14,14,9
org/apache/commons/io/FileUtilsDirectoryContainsTestCase.java,8d0e9d6cdb87188005ebc9fe839e0159031b832e,10,0,0.0,0.04,1562591734.433207,1,1,1,1,8,0,6,0,1,0,0,13,13,13,9,13,0,0,2,11,172,24,117,45,61,31,68,85,33,52,2,2,2,1,1,0.26,16,16,16,13
org/apache/commons/io/input/TailerTest.java,8d0e9d6cdb87188005ebc9fe839e0159031b832e,9,0,0.0,21.529,1562591734.4501731,1,1,1,1,16,1,14,1,2,0,0,21,21,21,6,21,0,2,2,17,434,60,326,114,242,55,242,283,115,168,4,4,4,1,3,0.17,32,32,34,21
org/apache/commons/io/IOUtilsTestCase.java,8d0e9d6cdb87188005ebc9fe839e0159031b832e,68,0,0.0,0.115,1562591734.474868,1,1,1,1,13,0,11,1,5,0,2,78,78,78,3,78,0,3,0,75,1198,143,936,266,662,119,559,699,263,436,4,4,4,1,2,0.13,102,102,102,78
org/apache/commons/io/output/FileWriterWithEncodingTest.java,8d0e9d6cdb87188005ebc9fe839e0159031b832e,6,0,0.0,0.031,1562591734.5178828,2,2,2,1,17,1,16,1,1,0,0,9,9,9,4,9,0,0,0,9,221,24,165,41,114,35,104,127,40,87,5,5,5,1,3,0.21,19,19,19,9
org/apache/commons/io/FileUtilsWaitForTestCase.java,8d0e9d6cdb87188005ebc9fe839e0159031b832e,1,0,0.0,5.492000000000001,1562591734.5355258,1,1,1,1,3,0,3,0,1,0,0,4,4,4,0,4,0,0,2,2,55,8,20,10,5,27,8,13,8,5,1,1,1,1,0,1.35,4,4,4,4
org/apache/commons/io/FileUtilsCleanSymlinksTestCase.java,8d0e9d6cdb87188005ebc9fe839e0159031b832e,7,0,0.0,0.10099999999999999,1562591734.5488489,1,1,1,1,17,4,12,1,1,0,0,11,11,11,1,11,0,1,2,8,243,63,146,46,107,35,106,125,44,81,2,2,2,1,1,0.24,18,18,18,11
