test_class_name,cycle_id,tests,failures,failures_%,time,timestamp,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
org/apache/commons/lang3/time/FastDatePrinterTest.java,caaf97ed8804ae3bf6fb17cd98a5814cab834688,22,0,0.0,0,1562397100.572382,1,1,1,1,10,1,8,1,2,1,5,31,29,30,8,31,1,5,1,24,438,73,314,150,195,52,216,248,122,126,2,2,2,1,1,0.17,32,32,32,31
org/apache/commons/lang3/time/WeekYearTest.java,caaf97ed8804ae3bf6fb17cd98a5814cab834688,32,0,0.0,0.008,1562397100.607282,1,1,1,1,11,1,10,0,1,1,0,4,4,3,2,4,0,0,0,4,90,12,62,28,32,16,30,35,24,11,1,1,1,1,0,0.26,4,4,4,4
org/apache/commons/lang3/time/FastDateFormat_ParserTest.java,caaf97ed8804ae3bf6fb17cd98a5814cab834688,37,0,0.0,0.198,1562397100.622029,1,1,1,1,3,0,3,0,1,0,0,1,1,1,0,1,0,0,1,0,33,3,9,6,1,21,4,6,5,1,1,1,1,1,0,2.33,1,1,1,1
org/apache/commons/lang3/time/FastDatePrinterTimeZonesTest.java,caaf97ed8804ae3bf6fb17cd98a5814cab834688,627,0,0.0,0.413,1562397100.638108,1,1,1,1,6,0,6,0,1,1,1,3,3,2,1,3,0,0,0,3,64,11,37,26,13,16,24,30,24,6,2,2,2,1,1,0.43,4,4,4,3
org/apache/commons/lang3/time/DateUtilsTest.java,caaf97ed8804ae3bf6fb17cd98a5814cab834688,59,0,0.0,0.115,1562397100.653825,1,1,1,1,22,1,19,1,1,5,1,66,66,61,30,66,0,5,0,61,1721,178,1409,265,1168,143,754,859,198,661,8,8,8,1,2,0.10,104,104,104,66
org/apache/commons/lang3/time/DurationFormatUtilsTest.java,caaf97ed8804ae3bf6fb17cd98a5814cab834688,25,0,0.0,0.519,1562397100.714237,1,1,1,1,18,1,16,1,1,0,1,28,28,28,0,28,0,3,0,25,631,84,490,103,388,62,332,367,82,285,4,4,4,1,3,0.13,34,34,34,28
org/apache/commons/lang3/time/FastDateParserTest.java,caaf97ed8804ae3bf6fb17cd98a5814cab834688,37,0,0.0,0.984,1562397100.74443,1,1,1,1,10,1,8,0,2,1,14,53,51,52,8,53,1,12,1,39,721,121,550,223,345,61,328,419,185,234,7,7,7,3,4,0.11,84,84,86,57
org/apache/commons/lang3/time/FastDateFormat_PrinterTest.java,caaf97ed8804ae3bf6fb17cd98a5814cab834688,22,0,0.0,0.066,1562397100.793567,1,1,1,1,3,0,3,0,1,0,0,1,1,1,0,1,0,0,1,0,33,3,9,6,1,21,4,6,5,1,1,1,1,1,0,2.33,1,1,1,1
org/apache/commons/lang3/time/DateFormatUtilsTest.java,caaf97ed8804ae3bf6fb17cd98a5814cab834688,12,0,0.0,0,1562397100.809898,1,1,1,1,9,0,8,0,1,0,0,17,17,17,1,17,0,5,0,12,274,41,179,82,99,55,113,131,66,65,1,1,1,1,0,0.31,17,17,17,17
org/apache/commons/lang3/time/FastDateFormatTest.java,caaf97ed8804ae3bf6fb17cd98a5814cab834688,15,0,0.0,0.893,1562397100.831485,1,1,1,1,13,1,11,0,3,0,3,19,19,19,1,19,0,1,0,18,323,48,243,117,153,33,152,179,98,81,4,4,4,1,3,0.14,24,24,24,19
org/apache/commons/lang3/time/DateUtilsRoundingTest.java,caaf97ed8804ae3bf6fb17cd98a5814cab834688,22,0,0.0,0.012,1562397100.8628402,1,1,1,1,23,2,12,8,1,0,0,26,26,26,14,26,0,0,3,23,727,88,381,136,262,258,303,330,112,218,1,1,1,1,0,0.68,26,26,26,26
org/apache/commons/lang3/time/FastDatePrinterTest.java,ce0c082898e3551d313fb5b73763f399232b3fd5,22,0,0.0,0.004,1562397120.6652071,1,1,1,1,10,1,8,1,2,1,5,31,29,30,8,31,1,5,1,24,438,73,314,150,195,52,216,248,122,126,2,2,2,1,1,0.17,32,32,32,31
org/apache/commons/lang3/time/WeekYearTest.java,ce0c082898e3551d313fb5b73763f399232b3fd5,32,0,0.0,0.009,1562397120.7021172,1,1,1,1,11,1,10,0,1,1,0,4,4,3,2,4,0,0,0,4,90,12,62,28,32,16,30,35,24,11,1,1,1,1,0,0.26,4,4,4,4
org/apache/commons/lang3/time/DateUtilsRoundingTest.java,ce0c082898e3551d313fb5b73763f399232b3fd5,22,0,0.0,0.012,1562397120.717498,1,1,1,1,23,2,12,8,1,0,0,26,26,26,14,26,0,0,3,23,727,88,381,136,262,258,303,330,112,218,1,1,1,1,0,0.68,26,26,26,26
org/apache/commons/lang3/time/DurationFormatUtilsTest.java,ce0c082898e3551d313fb5b73763f399232b3fd5,25,0,0.0,0.41,1562397120.745006,1,1,1,1,18,1,16,1,1,0,1,28,28,28,0,28,0,3,0,25,631,84,490,103,388,62,332,367,82,285,4,4,4,1,3,0.13,34,34,34,28
org/apache/commons/lang3/time/FastDateParserTest.java,ce0c082898e3551d313fb5b73763f399232b3fd5,37,0,0.0,0.923,1562397120.771192,1,1,1,1,10,1,8,0,2,1,14,53,51,52,8,53,1,12,1,39,721,121,550,223,345,61,328,419,185,234,7,7,7,3,4,0.11,84,84,86,57
org/apache/commons/lang3/time/FastDatePrinterTimeZonesTest.java,ce0c082898e3551d313fb5b73763f399232b3fd5,627,0,0.0,0.432,1562397120.805151,1,1,1,1,6,0,6,0,1,1,1,3,3,2,1,3,0,0,0,3,64,11,37,26,13,16,24,30,24,6,2,2,2,1,1,0.43,4,4,4,3
org/apache/commons/lang3/time/FastDateFormat_ParserTest.java,ce0c082898e3551d313fb5b73763f399232b3fd5,37,0,0.0,0.167,1562397120.818534,1,1,1,1,3,0,3,0,1,0,0,1,1,1,0,1,0,0,1,0,33,3,9,6,1,21,4,6,5,1,1,1,1,1,0,2.33,1,1,1,1
org/apache/commons/lang3/time/FastDateFormatTest.java,ce0c082898e3551d313fb5b73763f399232b3fd5,15,0,0.0,0.534,1562397120.830654,1,1,1,1,13,1,11,0,3,0,3,19,19,19,1,19,0,1,0,18,323,48,243,117,153,33,152,179,98,81,4,4,4,1,3,0.14,24,24,24,19
org/apache/commons/lang3/time/DateUtilsTest.java,ce0c082898e3551d313fb5b73763f399232b3fd5,59,0,0.0,0.115,1562397120.8532312,1,1,1,1,22,1,19,1,1,5,1,66,66,61,30,66,0,5,0,61,1721,178,1409,265,1168,143,754,859,198,661,8,8,8,1,2,0.10,104,104,104,66
org/apache/commons/lang3/time/FastDateFormat_PrinterTest.java,ce0c082898e3551d313fb5b73763f399232b3fd5,22,0,0.0,0.075,1562397120.918263,1,1,1,1,3,0,3,0,1,0,0,1,1,1,0,1,0,0,1,0,33,3,9,6,1,21,4,6,5,1,1,1,1,1,0,2.33,1,1,1,1
org/apache/commons/lang3/time/DateFormatUtilsTest.java,ce0c082898e3551d313fb5b73763f399232b3fd5,12,0,0.0,0.002,1562397120.933383,1,1,1,1,9,0,8,0,1,0,0,17,17,17,1,17,0,5,0,12,274,41,179,82,99,55,113,131,66,65,1,1,1,1,0,0.31,17,17,17,17
org/apache/commons/lang3/time/FastDateParserSDFTest.java,5b98a73e4db8d0cb1f29138b2f14319df7840ce1,276,0,0.0,0.053,1562397146.848793,2,2,2,1,16,1,14,4,1,1,0,10,10,9,5,10,0,2,0,8,230,25,177,60,115,65,72,94,52,42,8,8,8,1,2,0.37,21,21,21,10
org/apache/commons/lang3/time/FastDateParser_TimeZoneStrategyTest.java,5b98a73e4db8d0cb1f29138b2f14319df7840ce1,2,0,0.0,2.969,1562397146.875943,3,3,3,3,16,0,16,0,1,0,0,2,2,2,0,2,0,0,0,2,66,6,44,19,22,16,20,30,20,10,6,6,6,5,4,0.36,7,7,7,6
org/apache/commons/lang3/time/FastDateParserTest.java,5b98a73e4db8d0cb1f29138b2f14319df7840ce1,37,0,0.0,0.88,1562397146.8921258,1,1,1,1,10,1,8,0,2,1,14,53,51,52,8,53,1,12,1,39,721,121,550,223,345,61,328,419,185,234,7,7,7,3,4,0.11,84,84,86,57
org/apache/commons/lang3/time/FastDateParser_MoreOrLessTest.java,5b98a73e4db8d0cb1f29138b2f14319df7840ce1,7,0,0.0,0,1562397146.9301991,1,1,1,1,9,0,8,0,1,0,1,7,7,7,0,7,0,0,0,7,113,16,80,46,48,17,57,65,39,26,1,1,1,1,0,0.21,7,7,7,7
