test_class_name,cycle_id,tests,failures,failures_%,time,timestamp,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
org/apache/commons/compress/archivers/arj/ArjArchiveInputStreamTest.java,5b5b85236d6d0fb695d6e0be6781f749882ab0c0,3,0,0.0,0.01,1562512151.3415966,1,1,1,1,15,1,14,0,1,0,0,3,3,3,0,3,0,0,0,3,78,10,50,20,33,19,38,44,20,24,3,3,3,1,2,0.38,5,5,5,3
org/apache/commons/compress/DetectArchiverTestCase.java,5b5b85236d6d0fb695d6e0be6781f749882ab0c0,6,0,0.0,0.011000000000000001,1562512151.3653119,1,1,1,1,9,0,7,0,1,0,0,9,9,9,1,9,0,2,0,7,137,22,83,34,47,35,50,64,33,31,4,4,4,1,1,0.42,13,13,13,9
org/apache/commons/compress/changes/ChangeSetTestCase.java,5b5b85236d6d0fb695d6e0be6781f749882ab0c0,28,0,0.0,0.243,1562512151.380238,3,3,3,1,39,5,28,5,1,0,0,30,30,30,0,30,0,2,0,28,1265,203,870,302,701,196,582,701,300,401,5,5,5,1,2,0.23,91,91,91,30
org/apache/commons/compress/archivers/ZipTestCase.java,5b5b85236d6d0fb695d6e0be6781f749882ab0c0,13,0,0.0,0.052000000000000005,1562512151.4172149,1,1,1,1,24,1,20,2,2,0,0,19,19,19,3,19,0,5,0,14,541,49,424,149,331,69,309,355,144,211,4,4,4,1,3,0.16,35,35,35,19
org/apache/commons/compress/archivers/LongPathTest.java,5b5b85236d6d0fb695d6e0be6781f749882ab0c0,25,0,0.0,0.013000000000000001,1562512151.442674,3,3,4,2,17,0,16,1,1,2,1,6,6,4,2,6,0,1,1,4,164,14,123,48,71,30,74,100,49,51,12,12,14,5,4,0.24,23,23,25,12
org/apache/commons/compress/archivers/ArchiveStreamFactoryTest.java,5b5b85236d6d0fb695d6e0be6781f749882ab0c0,7,0,0.0,0.002,1562512151.4582949,1,1,1,1,14,0,12,2,1,0,0,7,7,7,0,7,0,0,0,7,150,11,105,35,61,34,44,62,28,34,2,2,2,1,3,0.32,11,11,11,7
org/apache/commons/compress/compressors/Pack200TestCase.java,5b5b85236d6d0fb695d6e0be6781f749882ab0c0,11,0,0.0,0.11699999999999999,1562512151.47237,1,1,1,1,12,0,11,0,1,0,0,13,13,13,0,13,0,2,0,11,213,24,169,68,108,20,102,126,61,65,4,4,4,3,3,0.12,16,16,16,15
org/apache/commons/compress/archivers/ArTestCase.java,5b5b85236d6d0fb695d6e0be6781f749882ab0c0,5,0,0.0,0.015,1562512151.488927,3,3,3,1,45,3,40,0,1,0,0,7,7,7,0,7,0,0,0,7,362,37,300,87,242,25,217,246,85,161,6,6,6,5,2,0.08,24,24,24,11
org/apache/commons/compress/archivers/DumpTestCase.java,5b5b85236d6d0fb695d6e0be6781f749882ab0c0,6,0,0.0,0.025,1562512151.5076082,1,1,1,1,8,0,8,0,1,0,0,9,9,9,0,9,0,3,0,6,119,13,88,29,50,18,46,63,29,34,5,5,5,3,3,0.2,13,13,13,11
org/apache/commons/compress/archivers/ExceptionMessageTest.java,5b5b85236d6d0fb695d6e0be6781f749882ab0c0,4,0,0.0,0.0,1562512151.522436,3,3,3,1,10,0,10,0,1,0,3,4,4,4,0,4,0,0,0,4,77,11,48,11,31,18,22,31,11,20,3,3,3,1,1,0.38,12,12,12,4
org/apache/commons/compress/archivers/JarTestCase.java,5b5b85236d6d0fb695d6e0be6781f749882ab0c0,3,0,0.0,0.013999999999999999,1562512151.53861,1,1,1,1,24,4,20,0,1,0,0,3,3,3,0,3,0,0,0,3,108,19,71,30,52,18,59,65,30,35,3,3,3,3,2,0.25,5,5,5,5
org/apache/commons/compress/archivers/tar/TarArchiveOutputStreamTest.java,5b5b85236d6d0fb695d6e0be6781f749882ab0c0,27,0,0.0,2.068,1562512151.556996,1,1,1,1,18,0,15,1,1,1,0,32,32,31,0,32,0,4,0,28,653,60,516,220,410,77,355,393,196,197,2,2,2,1,1,0.15,37,37,37,32
org/apache/commons/compress/archivers/ArchiveOutputStreamTest.java,5b5b85236d6d0fb695d6e0be6781f749882ab0c0,7,6,0.8571428571428571,0.02,1562512151.5896769,2,2,2,1,14,1,12,1,1,0,0,10,10,10,0,10,0,1,2,7,190,26,138,35,88,28,81,103,33,70,6,6,6,1,1,0.2,21,21,21,10
org/apache/commons/compress/archivers/CpioTestCase.java,5b5b85236d6d0fb695d6e0be6781f749882ab0c0,6,0,0.0,0.022000000000000002,1562512151.6079788,3,3,3,1,40,1,38,0,1,0,0,6,6,6,0,6,0,0,0,6,288,20,248,72,201,20,190,214,72,142,5,5,5,1,2,0.08,19,19,19,6
org/apache/commons/compress/compressors/pack200/Pack200UtilsTest.java,5b5b85236d6d0fb695d6e0be6781f749882ab0c0,2,0,0.0,0.021,1562512151.63024,3,3,3,3,40,2,38,0,1,0,0,2,2,2,0,2,0,0,0,2,118,11,89,31,62,18,55,68,29,39,4,4,4,3,4,0.2,7,7,7,6
org/apache/commons/compress/IOMethodsTest.java,5b5b85236d6d0fb695d6e0be6781f749882ab0c0,10,0,0.0,0.11,1562512151.647531,1,1,1,1,9,0,9,0,1,0,2,12,12,12,0,12,0,2,0,10,177,23,133,58,83,22,95,114,59,55,5,5,5,1,1,0.17,17,17,17,12
org/apache/commons/compress/archivers/TarTestCase.java,5b5b85236d6d0fb695d6e0be6781f749882ab0c0,9,0,0.0,0.017,1562512151.6685722,2,2,2,1,30,0,30,0,1,0,0,9,9,9,0,9,0,0,0,9,320,15,286,85,234,19,216,245,84,161,5,5,5,1,2,0.07,24,24,24,9
org/apache/commons/compress/compressors/DetectCompressorTestCase.java,66338dd9c4bf1e76be830749d9bc93c7be35cb2a,3,0,0.0,0.08199999999999999,1562512164.208577,1,1,1,1,12,0,10,0,2,0,4,7,7,7,6,7,1,2,0,4,173,25,126,61,76,27,72,87,43,44,3,3,3,1,2,0.21,12,12,12,7
org/apache/commons/compress/archivers/ArchiveOutputStreamTest.java,d50feb67569fb5881b8a2ff5996f656c5f207c2e,7,2,0.2857142857142857,0.016,1562512184.112169,2,2,2,1,14,1,12,1,1,0,0,10,10,10,0,10,0,1,2,7,190,26,138,35,88,28,81,103,33,70,6,6,6,1,1,0.2,21,21,21,10
org/apache/commons/compress/IOMethodsTest.java,d50feb67569fb5881b8a2ff5996f656c5f207c2e,10,0,0.0,0.10099999999999999,1562512184.13884,1,1,1,1,9,0,9,0,1,0,2,12,12,12,0,12,0,2,0,10,177,23,133,58,83,22,95,114,59,55,5,5,5,1,1,0.17,17,17,17,12
org/apache/commons/compress/compressors/pack200/Pack200UtilsTest.java,d50feb67569fb5881b8a2ff5996f656c5f207c2e,2,0,0.0,0.026000000000000002,1562512184.156937,3,3,3,3,40,2,38,0,1,0,0,2,2,2,0,2,0,0,0,2,118,11,89,31,62,18,55,68,29,39,4,4,4,3,4,0.2,7,7,7,6
org/apache/commons/compress/changes/ChangeSetTestCase.java,d50feb67569fb5881b8a2ff5996f656c5f207c2e,28,0,0.0,0.289,1562512184.17132,3,3,3,1,39,5,28,5,1,0,0,30,30,30,0,30,0,2,0,28,1265,203,870,302,701,196,582,701,300,401,5,5,5,1,2,0.23,91,91,91,30
org/apache/commons/compress/archivers/ZipTestCase.java,d50feb67569fb5881b8a2ff5996f656c5f207c2e,13,0,0.0,0.033,1562512184.208543,1,1,1,1,24,1,20,2,2,0,0,19,19,19,3,19,0,5,0,14,541,49,424,149,331,69,309,355,144,211,4,4,4,1,3,0.16,35,35,35,19
