cycle_id,num_testsuite,NORMALIZED_FPA,accuracy,total_failures_in_cycle,exec_time,optimal_failures_25%,failures_in_25%_ordered,optimal_exec_time_25%,exec_time_25%,optimal_failures_50%,failures_in_50%_ordered,optimal_exec_time_50%,exec_time_50%,optimal_failures_75%,failures_in_75%_ordered,optimal_exec_time_75%,exec_time_75%,prediction_time,learning_time
f08b05b15ac09709c948fbcb8f843f421c1d4db1,16,0.7125668449197861,0.25,1,12.451,1,0,0.12100000000000001,0.14200000000000002,1,0,0.14100000000000001,12.191999999999998,1,1,0.276,12.325999999999999,0.0010979175567626953,0.2784392833709717
02cf7cbffaf42ba6cc76452bfa70db8b2da611c6,16,0.8883689839572194,0.5,0,11.655999999999999,0,0,0.007,0.098,0,0,0.042,0.129,0,0,0.23800000000000002,11.457999999999998,0.0010890960693359375,0.4965980052947998
b69e6ca5c1a74f5a5646df240bea701922caef83,161,0.7569492073462999,0.6273291925465838,0,33.997,0,0,0.014000000000000002,5.577999999999999,0,0,0.162,16.078999999999997,0,0,0.8150000000000001,22.795,0.001409769058227539,0.11012792587280273
a4118e288f01ab16e861cd7ac107fff62a32b86b,16,0.7640374331550802,0.625,1,11.679,1,0,0.09600000000000002,0.6910000000000001,1,0,0.11300000000000002,0.7280000000000001,1,0,0.245,11.537,0.0011649131774902344,0.21735596656799316
61b2d1f34c1f3c2b14fe4a131ec5d552c3dbbb61,161,0.7567319834112136,0.577639751552795,234,33.653,234,98,4.001,4.289000000000001,234,153,4.045999999999999,20.716,234,187,4.454999999999999,29.281,0.0015749931335449219,0.8959619998931885
75d4db00e1b1d4ef53ca4d0c5ac247ec92cdb2d9,16,0.7239304812834224,0.6875,0,11.383000000000003,0,0,0.006,0.234,0,0,0.034,0.7749999999999999,0,0,0.21200000000000002,11.293000000000003,0.001168966293334961,0.6137151718139648
08e918330eb2555fc90b67957f53ce08141d3b13,230,0.7470323885300774,0.7130434782608696,1,145.54600000000002,1,0,6.082,97.80600000000003,1,1,6.313,111.13300000000004,1,1,7.673,133.18100000000004,0.0013439655303955078,0.503957986831665
fca88f8e3d44d743e82ef2fb3ce880f8b98149a3,1,1.0,1.0,0,10.64,0,0,10.64,10.64,0,0,10.64,10.64,0,0,10.64,10.64,0.0010519027709960938,0.3849649429321289
25e774c315e29328697eff6d12df80ad0bc48acb,1,1.0,0.0,8,10.515,8,8,10.515,10.515,8,8,10.515,10.515,8,8,10.515,10.515,0.0012099742889404297,0.925025224685669
d385c90c2e74fdfc0070f7d92d6d0c260251fc16,4,0.7999999999999999,0.5,2,0.182,2,0,0.085,0.01,2,0,0.095,0.026000000000000002,2,0,0.111,0.097,0.0013272762298583984,0.4001951217651367
792839b464bc3df40f773147b7694b761cf23b5a,4,0.9,0.5,0,0.22699999999999998,0,0,0.011000000000000001,0.087,0,0,0.034,0.09799999999999999,0,0,0.121,0.121,0.0010638236999511719,0.5945560932159424
a7363a2ae67b585790896de45f57154474480fc9,2,1.0,0.0,5,0.21100000000000002,5,5,0.033,0.033,5,5,0.21100000000000002,0.21100000000000002,5,5,0.21100000000000002,0.21100000000000002,0.0011358261108398438,0.6202201843261719
cc4ab51ee9e001a0a999a2a43ad5bd323494b800,4,0.7666666666666666,0.75,0,5.765000000000001,0,0,0.08,0.271,0,0,0.35100000000000003,3.327,0,0,2.709,5.6850000000000005,0.0012650489807128906,1.0826959609985352
662b6cbe5ab5c3462ea9c23f2c2dfec9ad75b855,16,0.750668449197861,0.5,15,11.405000000000001,15,0,0.647,0.126,15,14,0.657,0.779,15,14,0.7410000000000001,11.202,0.0011410713195800781,0.6830461025238037
1744e2803f1600761afb2ea8a91a7fd12f7fbc94,16,0.7339572192513368,0.625,5,11.999,5,5,0.111,11.726999999999999,5,5,0.131,11.86,5,5,0.256,11.921000000000001,0.0010907649993896484,0.7197103500366211
8af568eabb916ad2ff780fcd0838fdf29f57e97f,161,0.7283133950249309,0.6583850931677019,1,82.95500000000001,1,1,6.389,16.354,1,1,6.652,44.297000000000004,1,1,8.17,66.72,0.001600027084350586,0.9994900226593018
2af899b74b5969bb56a2ef813315a1d85f0c9fcc,16,0.748663101604278,0.625,0,11.691000000000003,0,0,0.005,10.824000000000002,0,0,0.039,11.045000000000002,0,0,0.22800000000000004,11.089000000000002,0.0011241436004638672,0.7779080867767334
f25a61670e378dd7f24ac45f55df00632979192e,192,0.710990596191374,0.8072916666666666,0,32.7,0,0,0.01,7.946,0,0,0.154,13.195000000000002,0,0,1.012,18.249000000000002,0.001828908920288086,1.1496341228485107
2f2a2ddaf6ac85da7cfcc5957614eeb880b795d3,11,0.7332015810276679,0.8181818181818182,8,5.958,8,0,0.09,0.139,8,0,0.113,0.22800000000000004,8,0,0.203,0.5230000000000001,0.0010912418365478516,1.0035457611083984
2bc9e7ea86a8cc1c3b2436c46115c87080228004,3,0.7142857142857142,0.0,1,0.389,1,0,0.044000000000000004,0.231,1,0,0.158,0.34500000000000003,1,1,0.389,0.389,0.0010716915130615234,0.992095947265625
76f154179b8dc6940355d7fe7db468314ca39e84,1,1.0,0.0,2,0.205,2,2,0.205,0.205,2,2,0.205,0.205,2,2,0.205,0.205,0.0010390281677246094,0.8528032302856445
30b9f935e7ea56026e5c5347e897df52a3ad18a7,1,1.0,0.0,8,0.086,8,8,0.086,0.086,8,8,0.086,0.086,8,8,0.086,0.086,0.0010449886322021484,1.0256109237670898
e9464c0a6db34576fa390d041e702b1f03c74b37,348,0.7125549856776058,0.7701149425287356,1,52.698,1,0,6.642,22.275,1,1,6.82,37.347,1,1,8.197000000000001,49.515,0.0017971992492675781,1.074263095855713
e875e6d59875be86fb8de8df7642c370b652eb76,97,0.7680137241256537,0.5257731958762887,174,28.11,174,72,4.8919999999999995,20.958,174,114,4.948999999999999,22.166999999999998,174,157,5.3069999999999995,26.279,0.001277923583984375,1.380289077758789
2a59e0ef4b8e70742a21bca76a629853aedbbd09,1,1.0,1.0,0,0.599,0,0,0.599,0.599,0,0,0.599,0.599,0,0,0.599,0.599,0.0011310577392578125,0.647010087966919
4080feff61e8dc1cd4af2361990c33c9f1014147,2,0.8,0.0,21,0.30800000000000005,15,6,0.062,0.24600000000000002,21,21,0.30800000000000005,0.30800000000000005,21,21,0.30800000000000005,0.30800000000000005,0.001154184341430664,1.1872570514678955
97d32b14e6dc7cce01f9c2cd53e03bb996863e51,1,1.0,1.0,0,0.318,0,0,0.318,0.318,0,0,0.318,0.318,0,0,0.318,0.318,0.0011069774627685547,1.4372608661651611
