cycle_id,num_testsuite,NORMALIZED_FPA,accuracy,total_failures_in_cycle,exec_time,optimal_failures_25%,failures_in_25%_ordered,optimal_exec_time_25%,exec_time_25%,optimal_failures_50%,failures_in_50%_ordered,optimal_exec_time_50%,exec_time_50%,optimal_failures_75%,failures_in_75%_ordered,optimal_exec_time_75%,exec_time_75%,prediction_time,learning_time
f9e08f8eed413e17c5d7655c686e7f4019779950,1,1.0,0.0,5,0.055,5,5,0.055,0.055,5,5,0.055,0.055,5,5,0.055,0.055,0.0010402202606201172,0.021970272064208984
e263a7cf75537a505a69015bdf2312d4a1a0fc41,21,0.8719420114768952,0.19047619047619047,33,27.305,33,19,0.41200000000000003,0.161,33,28,0.433,0.261,33,33,0.521,24.919,0.0015230178833007812,0.6069061756134033
b0a68dbc52507dfff51eed7ff625cc37dbebde0e,1,1.0,0.0,1,0.006999999999999999,1,1,0.006999999999999999,0.006999999999999999,1,1,0.006999999999999999,0.006999999999999999,1,1,0.006999999999999999,0.006999999999999999,0.0011200904846191406,0.17987608909606934
fe0db49d62f50afabf12da2b9077ed87c0f37ed1,42,0.7616572210279461,0.42857142857142855,0,52.321,0,0,0.061,1.1729999999999998,0,0,0.273,23.311999999999998,0,0,0.7370000000000001,26.182000000000002,0.0012290477752685547,0.6071920394897461
db23207891d4c88a828cacff06f799c39dd29c2c,10,0.8051948051948052,0.9,0,29.736999999999995,0,0,0.022,0.063,0,0,0.049999999999999996,1.3309999999999997,0,0,0.105,16.003,0.0012500286102294922,0.6191880702972412
7233bf46d9008b026e822053d793d38c0f6d92c4,10,0.7584415584415586,0.6,10,29.985999999999997,6,0,1.271,0.08199999999999999,10,6,15.886,1.353,10,6,15.91,1.377,0.0011856555938720703,0.595890998840332
354f627aaff8fe98d3c71fcf0a7205164fe24068,26,0.8248669569424287,0.5,38,51.06400000000001,38,5,0.326,14.825,38,5,0.4930000000000001,15.068,38,5,0.825,15.295999999999998,0.0010581016540527344,0.3943212032318115
f98a1ddc19803559812d70b4326db9c70404f0fc,2,1.0,0.0,8,21.868000000000002,8,8,21.85,21.85,8,8,21.868000000000002,21.868000000000002,8,8,21.868000000000002,21.868000000000002,0.0010862350463867188,0.04094123840332031
1de6355b694ed9d9e2074c3dfb5bb4f3d39e6611,4,0.9666666666666668,0.0,40,0.19599999999999998,13,13,0.046,0.046,40,40,0.16399999999999998,0.16399999999999998,40,40,0.172,0.18799999999999997,0.00164794921875,0.6594588756561279
db1419aa5f6e97ae6a8e97b3ad4dea6e063d5c23,1,1.0,1.0,0,2.105,0,0,2.105,2.105,0,0,2.105,2.105,0,0,2.105,2.105,0.0010402202606201172,0.6182770729064941
efc754a67cddd2dfd0015498b2ee5218c6025ef3,1,1.0,0.0,28,2.438,28,28,2.438,2.438,28,28,2.438,2.438,28,28,2.438,2.438,0.0009851455688476562,0.6541087627410889
4f8452880afc3fbedeb1f16e1b72035c9305be30,21,0.7816369676834796,0.8095238095238095,0,27.109999999999996,0,0,0.015,0.114,0,0,0.078,2.458,0,0,0.24600000000000002,26.903000000000002,0.0012249946594238281,0.046579837799072266
f4e275e781db855eda690fb3d3b48ceb9476adf1,1,1.0,0.0,1,0.23,1,1,0.23,0.23,1,1,0.23,0.23,1,1,0.23,0.23,0.001016855239868164,0.5149829387664795
97aad922da38e9640bafe2011d1f437bd7ad7c95,26,0.8016448959845186,0.6923076923076923,0,51.297,0,0,0.08199999999999999,2.478,0,0,0.271,16.551000000000002,0,0,0.6679999999999999,26.595000000000002,0.0010831356048583984,0.2233741283416748
6bfff9055ba3db5df39445712f28f3142de2f92d,1,1.0,0.0,27,0.532,27,27,0.532,0.532,27,27,0.532,0.532,27,27,0.532,0.532,0.001026153564453125,0.6835629940032959
676aa790441780aeada06499fad9b3321618ebff,1,1.0,0.0,8,0.127,8,8,0.127,0.127,8,8,0.127,0.127,8,8,0.127,0.127,0.00101470947265625,0.6445417404174805
047c2346766d8ac087dc6573b9bd2b26cc26ab51,1,1.0,1.0,0,0.124,0,0,0.124,0.124,0,0,0.124,0.124,0,0,0.124,0.124,0.0010597705841064453,0.6558499336242676
a39385a500fc0e8993d967a8025b931d3337ea04,1,1.0,0.0,2,0.122,2,2,0.122,0.122,2,2,0.122,0.122,2,2,0.122,0.122,0.0010118484497070312,0.6855471134185791
750d338864a92521f4daec993af7ef0aba9d609b,1,1.0,0.0,0,0.174,0,0,0.174,0.174,0,0,0.174,0.174,0,0,0.174,0.174,0.0011019706726074219,0.28423595428466797
0f09727be891a123005992eedb16963ec14578d5,1,1.0,1.0,0,0.117,0,0,0.117,0.117,0,0,0.117,0.117,0,0,0.117,0.117,0.0010349750518798828,0.41040897369384766
9f0c54042226e1b19f4eb48b8f09885ac2aa221a,1,1.0,0.0,0,0.116,0,0,0.116,0.116,0,0,0.116,0.116,0,0,0.116,0.116,0.001043081283569336,0.6665880680084229
5f3e1cecb76c4eef043607ee231f50d7d68c9108,1,1.0,1.0,0,0.142,0,0,0.142,0.142,0,0,0.142,0.142,0,0,0.142,0.142,0.0011138916015625,0.678581953048706
bbb4c8810247c0f8697bd677eee0c9895235afcf,1,1.0,0.0,16,0.118,16,16,0.118,0.118,16,16,0.118,0.118,16,16,0.118,0.118,0.0010349750518798828,0.6892364025115967
05fdca32c087afeff5f0f0901c52cfb1264a74cd,1,1.0,0.0,0,0.127,0,0,0.127,0.127,0,0,0.127,0.127,0,0,0.127,0.127,0.0013511180877685547,0.20421600341796875
7197abfd17530a5417097268a1e18a685edc5889,1,1.0,0.0,19,0.112,19,19,0.112,0.112,19,19,0.112,0.112,19,19,0.112,0.112,0.0010480880737304688,0.738264799118042
5d3269b1c5d2bfed8720814b439830a00f64b36a,1,1.0,0.0,0,0.116,0,0,0.116,0.116,0,0,0.116,0.116,0,0,0.116,0.116,0.0010366439819335938,0.021741867065429688
e84d32281523bba86c06b457a78cf092902ab2b4,22,0.7881422924901186,0.36363636363636365,11,52.184999999999995,11,0,0.127,14.743999999999998,11,4,0.244,17.03,11,5,0.675,44.708,0.001107931137084961,0.24379706382751465
9c38fde99627d7d8cd7ffe3c7bd704824bab0960,1,1.0,1.0,0,0.131,0,0,0.131,0.131,0,0,0.131,0.131,0,0,0.131,0.131,0.0010459423065185547,0.1199190616607666
b2dbfb9bbec197bf57cca03f47253d9551769bf8,21,0.7958320749018425,0.5238095238095238,0,51.300999999999995,0,0,0.08700000000000001,4.417,0,0,0.278,10.152999999999999,0,0,0.7240000000000001,26.889999999999997,0.0011372566223144531,0.15043306350708008
a1f4d43253ac11abe8cf3ed53876dabc885d7b30,1,1.0,0.0,4,0.236,4,4,0.236,0.236,4,4,0.236,0.236,4,4,0.236,0.236,0.0022377967834472656,0.24933505058288574
d765941b4ff45091a2435e98a007d9131293e96f,1,1.0,1.0,0,0.254,0,0,0.254,0.254,0,0,0.254,0.254,0,0,0.254,0.254,0.001107931137084961,0.19192981719970703
4271d0f15e0b675a83f20343eaa38fe642b09e65,1,1.0,0.0,0,0.258,0,0,0.258,0.258,0,0,0.258,0.258,0,0,0.258,0.258,0.0010528564453125,0.6660981178283691
