cycle_id,num_testsuite,NORMALIZED_FPA,accuracy,total_failures_in_cycle,exec_time,optimal_failures_25%,failures_in_25%_ordered,optimal_exec_time_25%,exec_time_25%,optimal_failures_50%,failures_in_50%_ordered,optimal_exec_time_50%,exec_time_50%,optimal_failures_75%,failures_in_75%_ordered,optimal_exec_time_75%,exec_time_75%,prediction_time,learning_time
66338dd9c4bf1e76be830749d9bc93c7be35cb2a,1,1.0,1.0,0,0.08199999999999999,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0008540153503417969,0.010652780532836914
d50feb67569fb5881b8a2ff5996f656c5f207c2e,29,0.7407364114552895,0.6551724137931034,7,3.0040000000000004,0,2,0.007,0.21600000000000003,7,7,0.07500000000000001,0.51,7,7,0.237,0.885,0.0009019374847412109,0.01631903648376465
2a95bf89813ebf321955d191afda7e0b08d69710,23,0.8036540240518039,0.5652173913043478,0,2.9599999999999995,0,0,0.035,0.075,0,0,0.125,2.3179999999999996,0,0,0.3,2.7799999999999994,0.0011327266693115234,0.013946056365966797
58fa9a673547c884cd1f11a8927414e563480358,27,0.7262626262626263,0.14814814814814814,16,0.327,0,10,0.0,0.1,9,16,0.0,0.11900000000000002,13,16,0.015,0.284,0.0009829998016357422,0.29628801345825195
0d53852d80cc686b47b4b0c1b2069f880a09b451,1,1.0,0.0,0,0.073,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0009300708770751953,0.5740900039672852
0f540f0f5848f2262e1b8937c39e269a79731efc,1,1.0,1.0,4,0.052000000000000005,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0009391307830810547,0.012907028198242188
0bbe5b59af443da2c3101cb9259e7ad68152dd13,35,0.6464788732394366,0.42857142857142855,38,6.029,0,16,0.027000000000000003,4.454000000000001,3,34,0.11,4.963,38,35,2.658,5.158,0.0012111663818359375,0.01735687255859375
5cf68bdc46c7bcc0fc5eb3cacd1c84514ef552cf,10,0.774025974025974,0.5,0,0.714,0,0,0.009000000000000001,0.098,0,0,0.04300000000000001,0.5920000000000001,0,0,0.08100000000000002,0.6140000000000001,0.0011839866638183594,0.017438888549804688
f8bf45444c49053a92f6f560c5008d5ac43aa27f,12,0.8430769230769231,0.5833333333333334,0,2.628,0,0,0.005,2.048,0,0,0.024,2.1449999999999996,0,0,0.14600000000000002,2.176,0.0010192394256591797,0.3441920280456543
af1f8163af8b52bc28a18109858744967935d828,33,0.7669406975816107,0.7878787878787878,1,3.7369999999999997,0,0,0.007,2.073,0,0,0.033,2.3080000000000003,1,0,0.126,3.359,0.0010676383972167969,0.015091896057128906
