cycle_id,num_testsuite,NORMALIZED_FPA,accuracy,total_failures_in_cycle,exec_time,optimal_failures_25%,failures_in_25%_ordered,optimal_exec_time_25%,exec_time_25%,optimal_failures_50%,failures_in_50%_ordered,optimal_exec_time_50%,exec_time_50%,optimal_failures_75%,failures_in_75%_ordered,optimal_exec_time_75%,exec_time_75%,prediction_time,learning_time
66338dd9c4bf1e76be830749d9bc93c7be35cb2a,1,1.0,0.0,0,0.08199999999999999,0,0,0.08199999999999999,0.08199999999999999,0,0,0.08199999999999999,0.08199999999999999,0,0,0.08199999999999999,0.08199999999999999,0.001004934310913086,0.6241099834442139
d50feb67569fb5881b8a2ff5996f656c5f207c2e,29,0.7479836353009937,0.3103448275862069,0,3.0040000000000004,0,0,0.007,0.364,0,0,0.075,2.502,0,0,0.237,2.7249999999999996,0.001055002212524414,0.6175029277801514
2a95bf89813ebf321955d191afda7e0b08d69710,23,0.6935707678075855,0.6521739130434783,0,2.96,0,0,0.035,2.1900000000000004,0,0,0.10600000000000001,2.3160000000000003,0,0,0.21999999999999997,2.779,0.0011739730834960938,0.9274981021881104
58fa9a673547c884cd1f11a8927414e563480358,27,0.6988455988455989,0.5555555555555556,0,0.327,0,0,0.0,0.127,0,0,0.0,0.277,0,0,0.007,0.319,0.001050710678100586,0.9452559947967529
0d53852d80cc686b47b4b0c1b2069f880a09b451,1,1.0,1.0,0,0.073,0,0,0.073,0.073,0,0,0.073,0.073,0,0,0.073,0.073,0.0009920597076416016,0.9433350563049316
0f540f0f5848f2262e1b8937c39e269a79731efc,1,1.0,0.0,1,0.052000000000000005,1,1,0.052000000000000005,0.052000000000000005,1,1,0.052000000000000005,0.052000000000000005,1,1,0.052000000000000005,0.052000000000000005,0.0010859966278076172,0.9623160362243652
0bbe5b59af443da2c3101cb9259e7ad68152dd13,35,0.7547954393024814,0.6285714285714286,2,6.029,2,0,0.14200000000000002,4.452,2,2,0.207,4.661,2,2,0.342,4.817,0.0010530948638916016,0.8136289119720459
5cf68bdc46c7bcc0fc5eb3cacd1c84514ef552cf,10,0.8181818181818182,0.7,0,0.714,0,0,0.009000000000000001,0.083,0,0,0.031,0.092,0,0,0.061,0.593,0.0010230541229248047,0.420928955078125
f8bf45444c49053a92f6f560c5008d5ac43aa27f,12,0.9092307692307691,0.9166666666666666,0,2.628,0,0,0.005,0.018,0,0,0.024,0.279,0,0,0.14600000000000002,0.38800000000000007,0.0010178089141845703,0.648339033126831
af1f8163af8b52bc28a18109858744967935d828,33,0.7892090350387103,0.7575757575757576,1,3.7369999999999997,1,0,0.02,3.1870000000000003,1,1,0.042,3.223,1,1,0.126,3.324,0.0011057853698730469,0.7041599750518799
c12c48ce91c6b5cceb61043a914d0b438b7a6900,3,0.9285714285714285,1.0,2,0.31,2,2,0.155,0.155,2,2,0.155,0.31,2,2,0.31,0.31,0.0010461807250976562,0.5150179862976074
31b546aecd87725c8a1274d1485cee89bdddfdce,21,0.8079130172153428,0.8571428571428571,0,2.8579999999999997,0,0,0.01,0.078,0,0,0.064,0.23100000000000004,0,0,0.144,0.49600000000000005,0.0012018680572509766,0.40941786766052246
6e8bb88263dd64b703679bf853c15f40ac07e347,9,0.7228070175438597,0.8888888888888888,0,0.256,0,0,0.009000000000000001,0.034999999999999996,0,0,0.034,0.14100000000000001,0,0,0.068,0.169,0.0010280609130859375,0.11290812492370605
24a3100e9897837b513a0d9f2ae26fd02ec91246,21,0.7689519782543041,0.8095238095238095,0,2.9139999999999993,0,0,0.011,0.082,0,0,0.071,0.188,0,0,0.16699999999999998,2.572,0.001088857650756836,0.39369702339172363
3c4a09bf28e7cd600b919b8c799fbbfd19a94c0b,21,0.8501963153125945,0.8571428571428571,0,2.9029999999999996,0,0,0.016,0.036000000000000004,0,0,0.075,2.2329999999999997,0,0,0.184,2.6389999999999993,0.0010297298431396484,0.519536018371582
9b3e389fc692513cc701b886a9dcdab6ebf32453,21,0.8130474176985805,0.8571428571428571,0,2.8889999999999993,0,0,0.012,0.046,0,0,0.06899999999999999,0.375,0,0,0.15799999999999997,2.6509999999999994,0.001251220703125,0.6222620010375977
b72b5c716ac18150396d05988d9eab745bea02b9,9,0.8877192982456141,1.0,0,0.264,0,0,0.009000000000000001,0.029,0,0,0.031,0.051000000000000004,0,0,0.062,0.14400000000000002,0.0010192394256591797,0.6941521167755127
8271475f973945e776ca91142349b8618c6f619e,9,0.8491228070175437,1.0,0,0.268,0,0,0.008,0.03,0,0,0.03,0.05499999999999999,0,0,0.062,0.14500000000000002,0.0010271072387695312,0.5036301612854004
8682c8d4f2281f838765a213d0241366255c99a0,24,0.7751020408163266,0.875,1,1.838,1,0,0.022000000000000006,0.2220000000000001,1,1,0.065,0.4230000000000001,1,1,0.235,1.663,0.00125885009765625,0.851356029510498
