;RL;;RF;;RRF;;MART;;RankNet;;RankBoost;;Coordinate Ascent;;LambdaMART;;RLMLP;;kNN;
repetition;training;test;training;test;training;test;training;test;training;test;training;test;training;test;training;test;training;test;training;test
1;420,2157003;1,026532937;166;9,638888889;178,7960848;13,54323002;5132,602;2,322138889;3637,053;0,861087302;2968,345;0,894154762;3741,269;0,817488095;466,858;1,067880952;853,2479943;1,060399248;41;41,32936508
2;414,3400872;1,027472633;135;9,861111111;177,8597064;13;4938,604;2,178198413;3614,386;0,822623016;3075,55;0,896234127;6933,111;0,847293651;501,014;1,077992063;846,3185521;1,081791685;43;35,92063492
3;396,002062;1,032694155;154;10,6031746;177,1908646;12,87275693;4916,654;2,228126984;3865,233;0,891452381;3114,283;0,889900794;6399,929;0,784087302;496,665;1,064555556;832,6959645;1,069087547;36;35,3968254
4;415,6358747;1,0325167;152;10,26587302;180,4730832;13,60195759;4959,097;2,302876984;3766,382;0,909515873;3034,396;0,878297619;5553,079;0,793761905;533,246;1,082380952;910,2232732;1,124879048;37;37,53174603
5;424,9717649;1,03527987;128;10,01190476;179,3947798;13,10766721;5182,503;2,502753968;3666,871;0,849837302;3081,181;0,913238095;4511,249;0,777111111;516,297;1,089845238;958,4727004;1,20569751;41;36,92857143
6;542,1245805;1,201946106;168;9,964285714;180,8858075;13,20391517;4980,747;2,267297619;3645,857;0,878595238;3134,557;0,874071429;4796,381;0,837583333;513,4;1,106829365;927,8297615;1,207569135;36;35,13888889
7;546,2027419;1,253131935;182;10,39285714;179,6117455;13,25611746;4634,579;2,152876984;3641,449;0,835531746;3075,719;0,880416667;8305,529;1,121305556;485,546;1,078662698;974,0013397;1,217718621;31;35,1984127
8;509,4041681;1,217353616;174;10,09126984;182,4225122;18,33442088;4628,46;2,224309524;3690,837;0,861888889;3108,041;0,882904762;8436,435;0,963531746;490,244;1,069861111;885,4934327;1,078656131;36;34,61111111
9;535,2674167;1,267544998;149;10,37698413;180,5187602;13,57911909;5002,975;2,53640873;3680,179;0,866285714;3032,422;0,896865079;6033,201;0,862202381;527,715;1,171281746;50255,18019;1,154555948;29;38,15079365
10;377,9645467;1,036663397;132;10,36111111;183,2707993;13,52039152;4827,564;2,351960317;3682,452;0,84140873;3075,354;0,859063492;5818,239;0,797619048;568,787;1,061948413;840,7239265;1,075206051;34;34,79365079
11;413,786388;1,08902035;185;10,18650794;182,9233279;13,79771615;4762,096;2,22940873;3791,81;0,894555556;3055,61;0,877630952;4516,244;0,990634921;487,151;1,10259127;853,2479943;1,060399248;33;33,40079365
12;439,5084401;1,073453636;156;9,380952381;183,8401305;13,6867863;4670,672;2,216333333;3783,504;0,894714286;3039,299;0,900650794;6466,784;0,78484127;565,25;1,127373016;846,3185521;1,081791685;32;34,27777778
13;425,835039;1,067554135;183;8,833333333;190,9200653;13,69004894;4664,147;2,134646825;3831,999;0,900873016;3069,398;0,863202381;4605,922;0,789507937;459,282;1,108837302;832,6959645;1,069087547;88;34,88095238
14;429,5522083;1,051398364;164;9,138888889;183,6068515;13,71125612;4760,598;2,284154762;3796,664;0,886464286;3102,634;0,886996032;5198,006;0,821206349;479,806;1,088956349;910,2232732;1,124879048;30;36,0515873
15;415,6145308;1,093925405;176;10,82142857;187,7977162;14,18760196;4736,854;2,133373016;3841,468;0,900388889;3114,886;0,88618254;5661,085;0,848797619;532,908;1,071464286;958,4727004;1,20569751;32;34,82539683
16;447,2217637;1,120579748;150;11,20238095;187,7504078;14,14355628;4721,735;2,19522619;3715,747;0,881642857;3132,559;0,909753968;6317,565;0,834019841;490,221;1,091107143;927,8297615;1,207569135;36;35,08333333
17;436,6531159;1,114365332;179;10,38492063;197,0522023;14,6639478;4757,332;2,224662698;3685,646;0,85490873;3128,746;0,857075397;4369,238;0,869230159;508,649;1,038285714;974,0013397;1,217718621;34;35,09126984
18;436,9473201;1,053727411;141;10,34920635;195,5008157;15,00489396;4705,828;2,19597619;3691,888;0,853119048;3070,124;0,881912698;5947,201;0,830376984;499,573;1,080174603;885,4934327;1,078656131;37;35,07936508
19;431,7834564;1,069460319;173;9,44047619;195,2871126;21,98531811;4600,907;2,179071429;3693,974;0,88031746;2969,77;0,864765873;5676,015;0,854865079;476,778;1,08334127;50255,18019;1,154555948;37;35,13095238
20;454,1287655;1,087352197;165;10,03968254;191,5285481;14,97389886;4562,34;2,170960317;3761,159;0,870896825;3159,458;0,861039683;7043,169;0,809162698;478,511;1,045654762;840,7239265;1,075206051;28;35,63888889
21;429,3713826;1,062784987;195;9,619047619;187,3507341;13,73735726;4568,754;2,221051587;3736,63;0,870345238;3009,715;0,887043651;5648,139;0,898305556;489,257;1,079313492;853,2479943;1,060399248;33;33,26984127
