;RL;;RF;;RRF;;MART;;RankNet;;RankBoost;;Coordinate Ascent;;LambdaMART;;RLMLP;;kNN;
repetition;training;test;training;test;training;test;training;test;training;test;training;test;training;test;training;test;training;test;training;test
1;796,5433164;1,103646447;174;10,04924242;254,4;16,592;4861,445;2,143234848;6162,883;0,632155303;2640,125;0,604964015;3949,507;0,587801136;477,492;0,682784091;1185,886212;1,115735068;31;45,98674242
2;828,1594072;1,145791399;172;10,82575758;251,9266348;16,83094099;4657,408;1,946585227;6122,203;0,614403409;2592,257;0,612613636;5602,53;0,575314394;459,096;0,693920455;1181,864587;1,093353761;30;50,02651515
3;786,9011534;1,090264587;175;10,96401515;250,4600639;30,8913738;4660,372;1,95692803;6161,585;0,632977273;2610,887;0,603782197;5680,121;0,584153409;463,36;0,695035985;1225,11957;1,092826731;30;50,51893939
4;799,0711199;1,091846058;178;10,79924242;250,0479233;17,06709265;4721,372;1,970464015;6048,272;0,631530303;2776,741;0,612280303;7104,057;0,571412879;485,341;0,699424242;1193,124754;1,102962372;29;48,76325758
5;792,8561495;1,104195913;170;10,73863636;249,2811502;16,50479233;4627,041;1,959172348;6215,042;0,633280303;2569,621;0,594579545;5121,141;0,581583333;478,683;0,705537879;1181,610749;1,094126435;29;51,22727273
6;800,212019;1,108983677;176;10,46401515;253,514377;17,65814696;4673,566;1,952257576;6037,347;0,619443182;2574,189;0,610215909;6070,527;0,564960227;483,738;0,703581439;1190,611299;1,086722531;29;52,07007576
7;807,1801027;1,106766422;167;10,29166667;250,1853035;16,77316294;4620,862;2,06600947;6206,625;0,6421875;2605,618;0,607778409;7580,809;0,570850379;470,384;0,688736742;1178,745325;1,114168426;52;51,30492424
8;779,9092212;1,075826253;163;13,25378788;257,2715655;18,31309904;4634,721;1,951253788;6134,055;0,641458333;2390,221;0,601679924;4373,771;0,570077652;471,607;0,688952652;1199,216606;1,087407018;24;51,67613636
9;770,3373432;1,089078578;171;10,4905303;254,9456869;17,09584665;4786,564;2,016278409;6251,651;0,661945076;2418,554;0,590498106;6363,377;0,580757576;469,623;0,685422348;1193,106754;1,093056403;34;49,47159091
10;859,1352038;1,154646729;162;10,32007576;261,4217252;18,55910543;5070,685;2,39005303;6143,548;0,642399621;2431,156;0,601409091;4662,872;0,566984848;472,628;0,696232955;1170,697114;1,096788966;30;51,28409091
11;779,2328366;1,073226974;178;10,14204545;258,1088;17,9328;4655,903;1,906795455;6200,719;0,635731061;2373,692;0,599117424;5048,46;0,576261364;474,573;0,682844697;1185,886212;1,115735068;24;45,98674242
12;789,8637693;1,092458266;157;9,84280303;260,0653907;19,22488038;4571,792;1,912837121;6299,861;0,658373106;2424,025;0,611145833;4910,236;0,574111742;489,035;0,706236742;1181,864587;1,093353761;29;50,02651515
13;795,305811;1,084440633;160;9,918560606;262,8690096;18,76357827;4517,079;1,879475379;6391,795;0,651774621;2438,546;0,598227273;6200,737;0,572725379;471,918;0,689058712;1225,11957;1,092826731;36;50,51893939
14;789,766579;1,082079643;171;10,53030303;261,2060703;18,81629393;4571,286;1,927125;6364,484;0,654217803;2423,184;0,602412879;5625,001;0,578155303;462,899;0,695340909;1193,124754;1,102962372;37;48,76325758
15;801,787454;1,081867461;173;10,46969697;260,2108626;18,88817891;4716,435;1,900030303;6184,906;0,667554924;2449,336;0,601329545;5407,369;0,579876894;477,611;0,688941288;1181,610749;1,094126435;47;51,22727273
16;769,4718769;1,077826894;166;11,59280303;264,3178914;18,62300319;4835,475;1,853645833;6263,88;0,640486742;2425,453;0,600089015;3667,678;0,567922348;461,617;0,685643939;1190,611299;1,086722531;26;52,07007576
17;834,2882123;1,094796821;322;11,57765152;263,6677316;19,00638978;4799,542;1,880596591;6194,947;0,639524621;2408,106;0,600827652;7069,848;0,576534091;459,928;0,70124053;1178,745325;1,114168426;24;51,30492424
