RL;;RF;;RRF;;MART;;RankNet;;RankBoost;;Coordinate Ascent;;LambdaMART;;RLMLP;;kNN;
training;test;training;test;training;test;training;test;training;test;training;test;training;test;training;test;training;test;training;test
818,9298561;1,112773063;180;9,9453125;251,0373333;17,21866667;4458,022;2,594423529;6569,441;0,998003922;2603,954;0,99552549;5031,638;0,921254902;493,104;1,131937255;1192,749834;1,061462976;38;39,94140625
847,0837835;1,120110776;181;10,62890625;233,2613333;15,42666667;4501,927;2,564137255;6595,414;0,984478431;2485,869;0,9816;6201,215;0,908745098;462,894;1,133027451;1142,502955;1,074495468;34;43,609375
823,6440103;1,113888431;237;9,28515625;233,0266667;14,816;4440,215;2,579070588;6608,045;0,99127451;2512,564;0,957329412;5474,425;0,933309804;481,495;1,125847059;1213,623803;1,066803298;28;46,34765625
794,0095226;1,069016913;148;9,43359375;246,5493333;15,66933333;4459,938;2,610584314;6606,584;0,988423529;2460,514;1,001588235;4349,72;0,914309804;495,536;1,159207843;1170,840353;1,076988717;30;47,41015625
777,0460337;1,083413971;143;10,2578125;236,28;15,21866667;4461,305;2,570470588;6621,84;0,96925098;2497,856;0,989631373;5350,229;0,908666667;491,713;1,178917647;1246,247657;1,077298788;32;46,91796875
791,525388;1,07593232;203;10,3828125;235,512;15,58933333;4454,945;2,518764706;6535,179;0,979952941;2591,968;0,985207843;7754,579;0,900266667;450,687;1,143572549;1176,912445;1,081530084;29;47,5
780,1504439;1,06570188;151;9,36328125;232,8506667;14,39733333;4499,395;2,499113725;6561,494;0,998945098;2610,539;1,006698039;6567,155;0,921533333;499,782;1,127705882;1218,327825;1,078086965;33;46,84375
797,376932;1,074037653;142;9,68359375;237,4346667;15,25066667;4478,431;2,531160784;6547,715;1,021266667;2500,462;0,999996078;5208,69;0,901133333;510,896;1,111956863;1237,286831;1,078094574;27;48,5859375
772,9964605;1,056406092;154;10,1015625;234,936;14,65066667;4453,471;2,544;6569,517;0,974831373;2602,389;1,045662745;5803,877;0,920611765;454,469;1,130109804;1213,327881;1,066920605;32;46,8828125
793,7044577;1,062317732;136;8,80859375;234,6986667;15,33066667;4480,717;2,643447059;6608,866;0,983545098;2693,655;0,993843137;4681,971;0,936670588;484,149;1,182105882;1213,063999;1,073012327;25;48,0546875
786,2210584;1,089118263;139;10,671875;245,896;15,07733333;4424,039;2,566580392;6544,743;0,991494118;2494,156;0,978701961;5551,505;0,909027451;454,375;1,139043137;1251,703554;1,102114611;75;39,94140625
876,7379719;1,232391976;158;9,57421875;239,4693333;16,56266667;4474,122;2,576494118;6555,866;0,985541176;2538,772;0,969917647;8656,394;0,907607843;479,532;1,131215686;1218,880559;1,06495175;33;43,609375
807,5310949;1,148586578;256;9,41015625;238,952;15,40266667;4477,091;2,594278431;6610,245;1,003113725;2636,836;0,981819608;4585,315;0,898427451;505,081;1,115611765;1252,939664;1,064813518;44;46,34765625
835,8984222;1,127944348;197;9,27734375;230,672;14,03466667;4482,541;2,576082353;6567,126;0,959321569;2540,804;1,002878431;5968,511;0,899541176;484,112;1,127152941;1228,011483;1,078625309;77;47,41015625
846,053684;1,151698067;160;10,41015625;232,4133333;14,05866667;4471,042;2,559360784;6578,357;0,986870588;2475,265;0,997729412;7317,504;0,898156863;480,39;1,135486275;1212,304853;1,056927316;31;46,91796875
867,3932521;1,150850286;183;9,46875;228,3786667;13,8;4453,743;2,675509804;6579,667;0,980356863;2533,064;0,999043137;6088,975;0,919564706;452,784;1,128070588;1233,090607;1,06695548;33;47,5
829,1460941;1,12531033;173;10,77734375;229,8106667;13,45066667;4469,153;2,6338;6581,226;0,976337255;2567,614;0,973360784;3685,04;0,927580392;497,371;1,202145098;1208,42417;1,061875769;29;46,84375
820,4422378;1,115667693;187;9,37109375;237,752;14,34666667;4424,79;2,680396078;6551,88;0,984094118;2551,81;1,00385098;6221,385;0,91447451;481,555;1,139254902;1231,305342;1,061622767;25;48,5859375
