RL;;RF;;RRF;;MART;;RankNet;;RankBoost;;Coordinate Ascent;;LambdaMART;;RLMLP;;kNN;
training;test;training;test;training;test;training;test;training;test;training;test;training;test;training;test;training;test;training;test
650,1571143;1,088124529;125;7,82278481;210,4337662;17,62597403;4606,439;2,970147679;10657,416;1,114835443;2728,927;1,167531646;5689,248;0,989308017;460,253;1,197924051;1068,658209;1,070622018;30;43,27848101
647,8604636;1,080996614;142;7,540084388;214,9018088;16,37726098;4637,454;3,04921519;10606,262;1,065405063;2698,486;1,050911392;5290,092;1,024827004;497,393;1,227172996;1067,887013;1,089741093;28;43,71308017
651,8936005;1,090368867;140;8,632911392;217,626943;16,21502591;4645,622;3,003890295;10315,948;1,095911392;2734,99;1,064367089;6829,724;1,003742616;472,51;1,242767932;1109,259052;1,097249122;27;47,29535865
671,0058901;1,099846468;185;8,700421941;220,2487047;16,71761658;4615,416;2,990527426;10766,378;1,102936709;2743,776;1,083919831;5805,773;0,989827004;466,212;1,237037975;1073,614228;1,083030257;40;49,03375527
693,3893504;1,069067677;143;9,683544304;219,5336788;16,71502591;4588,137;3,042156118;10397,274;1,126493671;2706,192;1,064734177;5334,497;0,994194093;486,32;1,256012658;1090,818587;1,080931311;26;62,05063291
677,7401991;1,088356171;154;8,434599156;218,1528497;16,94300518;4616,401;2,982565401;10522,333;1,090696203;2724,62;1,053236287;6191,6;1,008721519;466,661;1,240050633;1040,768305;1,062052502;28;49,9535865
684,0818949;1,103414122;138;8,375527426;218,0466321;16,65025907;4585,49;3,022827004;10879,885;1,104481013;2706,184;1,075852321;5660,968;1,011738397;474,697;1,218156118;1084,019845;1,080078056;25;50,42616034
642,3274691;1,034981213;210;8,488986784;218,873057;17,45595855;4575,107;2,964708861;10559,192;1,106620253;2628,195;1,069620253;6127,918;1,0237173;433,564;1,256097046;1092,750416;1,078766446;26;49,69162996
658,7109217;1,044724339;143;7,805907173;217,873057;17,11139896;4571,868;2,998303797;10515,486;1,042881857;2761,047;1,069582278;4878,012;1,00042616;473,178;1,224181435;1085,074688;1,070963936;25;49,73839662
651,9630558;1,053388113;124;7,88185654;224,9228723;17,30051813;4567,278;3,043308017;10832,618;1,05007173;2786,145;1,063008439;7920,629;0,987518987;469,429;1,221198312;1078,959601;1,074013476;29;49,63291139
626,6919045;1,037725182;120;8,080168776;218,8753247;14,9012987;4645,638;2,946295359;10600,635;1,042679325;2617,746;1,064881857;4560,344;0,987962025;455,516;1,276687764;1143,15055;1,094929624;28;43,27848101
674,6322271;1,109163891;175;7,987341772;225,4444444;15,64599483;4642,687;2,997088608;10403,304;1,116177215;2718,837;1,052206751;7539,523;1,019126582;477,278;1,238320675;1046,300872;1,071515933;25;43,71308017
698,8134698;1,171388059;128;8,991561181;227,5310881;15,18134715;4633,211;2,983940928;10511,95;1,090362869;2709,564;1,068991561;6946,377;0,998240506;468,394;1,24171308;1054,317802;1,07605944;29;47,29535865
700,4957224;1,155125694;218;8,147679325;244,0181347;17,44300518;4585,091;3,021700422;10586,232;1,10907173;2721,536;1,058797468;6354,682;0,981181435;443,879;1,238130802;1078,410877;1,087223221;27;49,03375527
693,7307874;1,146249377;144;8,278481013;242,0518135;17,43523316;4582,511;3,000261603;10543,553;1,092329114;2759,175;1,063666667;4312,292;0,989514768;470,963;1,224392405;1099,770004;1,064498911;23;62,05063291
701,7032478;1,152601045;166;8,924050633;268,8782383;17,16580311;4589,583;2,968835443;10202,871;1,102455696;2722,928;1,046177215;5455,146;1,008468354;456,972;1,222012658;1087,70528;1,070026895;27;49,9535865
654,9685334;1,075435362;155;9,025316456;242,3031088;17,83419689;4576,484;2,961805907;10819,706;1,099898734;2730,654;1,053734177;6186,889;1,015586498;470,718;1,238177215;1069,989206;1,075650986;28;50,42616034
621,14902;1,079471844;147;8,193832599;240,9300518;16,89896373;4591,162;2,993540084;10241,025;1,075320675;2740,534;1,065320675;6468,626;0,997666667;470,492;1,220316456;1095,255344;1,060575786;30;49,69162996
610,647451;1,049681843;143;8,565400844;244,2642487;17,63471503;5354,416;3,086683544;10464,029;1,112084388;2735,859;1,037468354;6469,158;1,01578903;500,801;1,228637131;1067,596389;1,07125472;29;49,73839662
630,6373808;1,037099873;152;9,194092827;243,8497409;17,81606218;4594,692;3,211611814;10705,362;1,085455696;2742,919;1,069265823;5442,475;1,000472574;455,686;1,23964557;1067,845263;1,075909735;24;49,63291139
640,5999223;1,070060163;147;9,046413502;241,9974026;17,03376623;4705,427;3,057991561;10737,005;1,034324895;2744,412;1,062177215;4436,581;1,018776371;465,128;1,249877637;1088,53431;1,068573589;28;43,27848101
697,5670563;1,107608933;152;8,194092827;242,0749354;17,16537468;4562,201;3,104350211;10260,195;1,101599156;2719,817;1,073202532;5164,851;1,009506329;464,08;1,227772152;1075,184412;1,065469835;31;43,71308017
684,8516729;1,104296332;134;7,991561181;253,7590674;18,04663212;4516,27;3,0177173;10486,926;1,118628692;2751,103;1,057911392;5796,203;1,020940928;484,067;1,238337553;1053,154132;1,082405563;29;47,29535865
