;RL;;RF;;RRF;;MART;;RankNet;;RankBoost;;Coordinate Ascent;;LambdaMART;;RLMLP;;kNN;
repetition;training;test;training;test;training;test;training;test;training;test;training;test;training;test;training;test;training;test;training;test
1;504,5190878;1,093062238;229;15,43822844;276,35;17,33076923;4543,151;2,47164486;10605,785;0,78410514;2735,562;0,747962617;6539,361;0,694093458;478,456;0,870390187;1139,022732;1,188115287;38;44,54545455
2;489,0211988;1,054315787;186;15,3986014;274,8134615;18,49423077;4624,649;2,476212617;10807,137;0,792359813;2713,694;0,735962617;5452,125;0,70067757;494,23;0,851;1085,651425;1,130320976;27;47,57575758
3;487,3528142;1,051126195;193;17,1958042;275,4115385;18,65384615;4578,109;2,425495327;10719,882;0,79925;2706,095;0,736238318;6287,799;0,716016355;479,02;0,845824766;1103,013751;1,134556223;26;47,18648019
4;486,5020671;1,049265523;272;15,19114219;278,3442308;19,07307692;4589,848;2,462656542;10266,607;0,794719626;2701,961;0,741163551;7392,047;0,722766355;467,996;0,852063084;1080,195693;1,145492817;27;48,56643357
5;471,2326655;1,039923725;255;15,73892774;278,5096154;18,61346154;4531,289;2,444053738;10772,014;0,788820093;2723,266;0,745123832;6880,13;0,71064486;465,03;0,85138785;1093,427589;1,165789972;28;45,93939394
6;467,4075684;1,049149746;248;16,58741259;271,4980769;17,95769231;4511,413;2,429443925;10023,414;0,787542056;2724,378;0,74003972;6460,012;0,705464953;505,022;0,845752336;1127,332729;1,171346818;24;45,31468531
7;464,4284578;1,041460403;256;18,22144522;270,738342;19,4119171;4569,581;2,449588785;9974,257;0,78714486;2791,462;0,757598131;5703,317;0,698397196;443,526;0,84882243;1086,274615;1,132032922;28;46,33333333
8;476,8869849;1,076541798;280;16,62937063;274,8211538;17,7;4558,486;2,455745327;10527,049;0,800128505;2732,703;0,749551402;7200,853;0,722918224;495,918;0,857345794;1104,592142;1,151508196;19;46,45920746
9;537,987693;1,125122444;215;16,0955711;274,2903846;18,34230769;4574,428;2,462490654;10557,438;0,786511682;2708,685;0,737044393;4819,001;0,729037383;495,616;0,855175234;1078,537719;1,106257173;20;45,28205128
10;506,1089704;1,106970599;311;15,15384615;283,5519231;19,86923077;4567,725;2,516189252;10793,217;0,798214953;2638,566;0,74296028;7574,068;0,735953271;502,837;0,850359813;1046,580932;1,108803356;21;45,09090909
11;512,8317758;1,090295026;221;15,82750583;276,5442308;18,43076923;4555,514;2,461042056;10679,88;0,785287383;2808,654;0,740285047;8041,517;0,738214953;501,644;0,863252336;1139,022732;1,188115287;28;44,54545455
12;501,8371534;1,09241654;283;15,82983683;274,9461538;17,84423077;4541,387;2,472665888;10555,25;0,797971963;2639,304;0,747474299;6147,926;0,726511682;501,865;0,863448598;1085,651425;1,130320976;29;47,57575758
13;488,663375;1,068490023;271;16,52447552;272,2038462;18,03076923;4540,837;2,442518692;10678,319;0,788904206;2719,4;0,748616822;6676,536;0,719551402;517,478;0,907712617;1103,013751;1,134556223;21;47,18648019
14;514,1271195;1,109751081;269;17,34265734;280,6576923;18,15769231;4534,079;2,452565421;10750,244;0,794116822;2723,254;0,731771028;5309,623;0,722331776;506,584;0,895649533;1080,195693;1,145492817;55;48,56643357
15;493,26919;1,069794232;188;16,77855478;282,1192308;19,27115385;4614,417;2,461915888;10394,444;0,790035047;2718,784;0,751876168;6053,579;0,727196262;476,671;0,861943925;1093,427589;1,165789972;45;45,93939394
16;498,976108;1,073010366;250;17,20979021;277,5596154;18,52884615;4551,866;2,466845794;10593,304;0,792827103;2612,069;0,749871495;7254,248;0,719528037;507,206;0,857591121;1127,332729;1,171346818;23;45,31468531
17;495,9838331;1,058507561;200;16,56643357;270,015544;19,94300518;4535,904;2,509918224;10517,287;0,783553738;2807,395;0,741878505;4150,267;0,716836449;554,78;0,87761215;1086,274615;1,132032922;20;46,33333333
18;486,4346166;1,07377779;229;14,24941725;276,2192308;18,45192308;4577,843;2,418156542;10589,156;0,894009346;2738,576;0,741616822;3953,297;0,718315421;509,457;0,852922897;1104,592142;1,151508196;20;46,45920746
19;520,3551322;1,116498647;298;15,78787879;276,5865385;17,87884615;4556,14;2,466203271;10663,864;0,793119159;2660,921;0,747813084;6158,414;0,735261682;486,777;0,851364486;1078,537719;1,106257173;48;45,28205128
20;559,2918671;1,206496398;256;15,52680653;274,375;17,67307692;4532,716;2,449357477;10821,008;0,805813084;2738,385;0,757450935;7238,34;0,728453271;472,925;0,838070093;1046,580932;1,108803356;22;45,09090909
21;591,1396666;1,208313596;227;16,24941725;271,4692308;17,56923077;4559,14;2,504119159;10306,584;0,795151869;2759,37;0,74896028;5543,584;0,715537383;483,277;0,851273364;1139,022732;1,188115287;27;44,54545455
22;517,8026224;1,113663708;293;15,17715618;271,4711538;18,22307692;4714,28;2,471574766;10210,791;0,772170561;2651,652;0,740588785;5512,841;0,712163551;491,393;0,847852804;1085,651425;1,130320976;25;47,57575758
23;520,3244398;1,095980921;238;15,00932401;269,2461538;17,82115385;4746,516;2,496962617;10457,893;0,780621495;2744,96;0,754817757;4805,127;0,716268692;488,898;0,859908879;1103,013751;1,134556223;25;47,18648019
24;524,3124976;1,131972974;228;14,71794872;274,6384615;19,00576923;4577,883;2,422296729;10474,413;0,787668224;2900,837;0,734490654;6751,433;0,738081776;505,866;0,922037383;1080,195693;1,145492817;20;48,56643357
25;493,5602423;1,066407407;233;14,35198135;281,0269231;18,53461538;4558,589;2,452338785;10353,021;0,783941589;2730,171;0,743764019;5890,472;0,72721729;485,168;0,852156542;1093,427589;1,165789972;48;45,93939394
26;492,2795241;1,095748909;311;14,37062937;280,7230769;19,02884615;4522,276;2,450836449;10726,043;0,81282243;2748,007;0,752392523;7732,124;0,732929907;433,671;0,860310748;1127,332729;1,171346818;27;45,31468531
27;490,0625827;1,095655097;220;15,27272727;273,4766839;19,26165803;4537,167;2,452591121;10823,284;0,801514019;2738,499;0,736943925;5848,064;0,725030374;470,39;0,843514019;1086,274615;1,132032922;46;46,33333333
28;517,9019537;1,099918717;243;15,64335664;289,7269231;20,63461538;4525,908;2,504787383;10974,216;0,787602804;2654,546;0,74757243;6963,8;0,716586449;498,249;0,853759346;1104,592142;1,151508196;26;46,45920746
29;479,2570908;1,063984781;213;15,43356643;277,2961538;18,51346154;4583,145;2,42925;10589,564;0,795327103;2734,72;0,730850467;8007,045;0,739455607;455,925;0,84214486;1078,537719;1,106257173;27;45,28205128
30;506,0919425;1,090732509;263;14,69230769;288,6365385;20,41923077;4566,745;2,481070093;10779,669;0,806537383;2764,876;0,74792757;5069,748;0,725165888;494,615;0,834016355;1046,580932;1,108803356;31;45,09090909
