;RL;;RF;;RRF;;MART;;RankNet;;RankBoost;;Coordinate Ascent;;LambdaMART;;RLMLP;;kNN;
repetition;training;test;training;test;training;test;training;test;training;test;training;test;training;test;training;test;training;test;training;test
1;716,3649207;1,305489927;204;19,16666667;326,963964;21,72972973;4632,617;6,997857143;38366,784;3,052805195;6506,962;2,999688312;8998,252;2,809974026;462,136;3,538753247;1281,12645;1,151840966;31;50,11538462
2;738,8303602;1,4595384;203;18,88461538;299,3333333;21,72072072;4604,844;7,004272727;37968,642;3,058181818;6513,927;3,011961039;8511,758;2,766532468;502,528;3,649246753;1187,232486;1,142209715;40;55,5
3;690,2394359;1,250582772;202;19,26923077;294,7027027;22,27927928;4617,246;6,895337662;38135,46;3,366415584;6569,936;2,961545455;8705,388;2,75212987;438,505;3,44838961;1211,04136;1,133184175;65;55,06410256
4;685,8596136;1,290905583;199;19,17948718;294,5045045;21,64864865;4622,71;7,218246753;38524,741;3,163675325;6504,454;2,994753247;5944,052;2,746909091;473,136;3,435051948;1292,156602;1,134157181;40;54,11538462
5;740,1067437;1,277794709;207;19,24358974;295,2972973;22,53153153;4660,972;6,940454545;38705,912;3,199194805;6557,904;3,010376623;6798,208;2,687480519;465,656;3,546454545;1215,640306;1,123973915;42;53,76923077
6;629,3515429;1,202568278;209;19,07692308;295,3423423;22,20720721;4621,005;6,978272727;38498,634;3,088805195;6491,522;3,039090909;5660,202;2,950909091;516,64;3,521233766;1267,65211;1,133521398;40;54,35897436
7;610,9254059;1,139572075;204;18,93589744;297,045045;22,72072072;4621,628;7,051753247;38198,504;2,957454545;6534,723;3,050337662;6562,253;2,797363636;563,45;3,434012987;1194,983117;1,127019659;61;57,15384615
8;646,8569545;1,188218057;279;19,25641026;301,1351351;22,84684685;4618,342;6,950818182;37693,002;3,071714286;6519,572;2,999428571;7197,682;2,785909091;483,21;3,423454545;1210,864866;1,151969841;41;59,58974359
9;563,1434252;1,095707352;212;20,26923077;294,0630631;22,85585586;4643,681;7,137116883;37529,193;3,044103896;6569,048;2,979974026;6874,514;2,791558442;512,016;3,466090909;1298,89622;1,261032379;43;59,06410256
10;700,9670691;1,219276909;215;19,01282051;301,0900901;23,75675676;4613,096;6,873857143;39057,869;3,041324675;6561,526;3,011792208;9339,899;2,789311688;500,408;3,458753247;1435,923834;1,23524451;43;61,48717949
11;633,2877112;1,067247477;209;19,3974359;295,3963964;22,88288288;4619,576;7,35438961;37363,385;3,024688312;6697,602;3,022558442;5262,294;2,787831169;472,769;3,470155844;1281,12645;1,151840966;59;50,11538462
12;551,5050308;1,052029498;215;19,46153846;292;21,62162162;4612,199;7,023103896;38588,003;3,166376623;6729,902;3,036506494;6955,129;2,762597403;466,491;3,459324675;1187,232486;1,142209715;35;55,5
13;560,851894;1,069835714;212;19,12820513;299,2252252;22,58558559;4682,948;6,850402597;38543,054;3,179233766;6481,463;3,022883117;6803,422;2,850636364;471,807;3,503519481;1211,04136;1,133184175;35;55,06410256
14;579,8229548;1,080929696;202;19,64102564;308,972973;25,68468468;4695,497;7,002285714;39270,85;3,129376623;6441,435;2,988285714;6874,481;2,799;451,919;3,479727273;1292,156602;1,134157181;32;54,11538462
15;540,0608724;1,082527745;200;20,06410256;312,7927928;24,42342342;4650,111;6,85138961;37900,276;3,078428571;6528,923;3,018467532;7183,226;2,823207792;465,369;3,386831169;1215,640306;1,123973915;41;53,76923077
